condition,layer,mode,split,mean_r2,sd_r2,n_folds
default,0,mean_pooled,pair_novel,0.385145,0.006745,10
default,0,mean_pooled,word_novel,0.323811,0.026797,10
default,0,words_only,pair_novel,0.298827,0.00516,10
default,0,words_only,word_novel,0.263444,0.031285,10
default,1,mean_pooled,pair_novel,0.450318,0.008082,10
default,1,mean_pooled,word_novel,0.405223,0.024414,10
default,1,words_only,pair_novel,0.418835,0.007234,10
default,1,words_only,word_novel,0.394571,0.02581,10
default,2,mean_pooled,pair_novel,0.462098,0.007588,10
default,2,mean_pooled,word_novel,0.424263,0.022369,10
default,2,words_only,pair_novel,0.426475,0.007192,10
default,2,words_only,word_novel,0.399878,0.024611,10
default,3,mean_pooled,pair_novel,0.484301,0.007032,10
default,3,mean_pooled,word_novel,0.451939,0.022039,10
default,3,words_only,pair_novel,0.457661,0.007017,10
default,3,words_only,word_novel,0.437058,0.020568,10
default,4,mean_pooled,pair_novel,0.508434,0.006398,10
default,4,mean_pooled,word_novel,0.482284,0.020468,10
default,4,words_only,pair_novel,0.479567,0.007405,10
default,4,words_only,word_novel,0.461943,0.02054,10
default,5,mean_pooled,pair_novel,0.527918,0.006178,10
default,5,mean_pooled,word_novel,0.503386,0.023981,10
default,5,words_only,pair_novel,0.490819,0.007433,10
default,5,words_only,word_novel,0.473596,0.021171,10
default,6,mean_pooled,pair_novel,0.530922,0.006925,10
default,6,mean_pooled,word_novel,0.508411,0.026473,10
default,6,words_only,pair_novel,0.492532,0.006375,10
default,6,words_only,word_novel,0.475996,0.022087,10
default,7,mean_pooled,pair_novel,0.532503,0.006923,10
default,7,mean_pooled,word_novel,0.512792,0.024242,10
default,7,words_only,pair_novel,0.491423,0.006348,10
default,7,words_only,word_novel,0.477066,0.022751,10
default,8,mean_pooled,pair_novel,0.534968,0.006406,10
default,8,mean_pooled,word_novel,0.51598,0.026778,10
default,8,words_only,pair_novel,0.496648,0.006128,10
default,8,words_only,word_novel,0.481301,0.023017,10
default,9,mean_pooled,pair_novel,0.531842,0.006386,10
default,9,mean_pooled,word_novel,0.513887,0.025152,10
default,9,words_only,pair_novel,0.493861,0.005799,10
default,9,words_only,word_novel,0.478605,0.024404,10
default,10,mean_pooled,pair_novel,0.52264,0.006671,10
default,10,mean_pooled,word_novel,0.507818,0.023446,10
default,10,words_only,pair_novel,0.48641,0.006366,10
default,10,words_only,word_novel,0.47103,0.024105,10
default,11,mean_pooled,pair_novel,0.505604,0.007695,10
default,11,mean_pooled,word_novel,0.492793,0.021806,10
default,11,words_only,pair_novel,0.475926,0.007036,10
default,11,words_only,word_novel,0.463432,0.02453,10
default,12,mean_pooled,pair_novel,0.459009,0.006942,10
default,12,mean_pooled,word_novel,0.445337,0.02715,10
default,12,words_only,pair_novel,0.436157,0.006287,10
default,12,words_only,word_novel,0.424345,0.027812,10
attn_zeroed,0,mean_pooled,pair_novel,0.4107,0.006743,10
attn_zeroed,0,mean_pooled,word_novel,0.341418,0.022212,10
attn_zeroed,0,words_only,pair_novel,0.309563,0.004372,10
attn_zeroed,0,words_only,word_novel,0.273461,0.025049,10
attn_zeroed,1,mean_pooled,pair_novel,0.474505,0.007026,10
attn_zeroed,1,mean_pooled,word_novel,0.428922,0.016856,10
attn_zeroed,1,words_only,pair_novel,0.4335,0.006077,10
attn_zeroed,1,words_only,word_novel,0.407033,0.023619,10
attn_zeroed,2,mean_pooled,pair_novel,0.485158,0.00753,10
attn_zeroed,2,mean_pooled,word_novel,0.439098,0.016423,10
attn_zeroed,2,words_only,pair_novel,0.443858,0.005891,10
attn_zeroed,2,words_only,word_novel,0.416431,0.02037,10
attn_zeroed,3,mean_pooled,pair_novel,0.500455,0.00728,10
attn_zeroed,3,mean_pooled,word_novel,0.458289,0.015595,10
attn_zeroed,3,words_only,pair_novel,0.47707,0.006077,10
attn_zeroed,3,words_only,word_novel,0.453827,0.017604,10
attn_zeroed,4,mean_pooled,pair_novel,0.512799,0.007489,10
attn_zeroed,4,mean_pooled,word_novel,0.4734,0.016654,10
attn_zeroed,4,words_only,pair_novel,0.500603,0.006357,10
attn_zeroed,4,words_only,word_novel,0.479705,0.021427,10
attn_zeroed,5,mean_pooled,pair_novel,0.53016,0.006768,10
attn_zeroed,5,mean_pooled,word_novel,0.492354,0.013364,10
attn_zeroed,5,words_only,pair_novel,0.511221,0.006484,10
attn_zeroed,5,words_only,word_novel,0.489263,0.024617,10
attn_zeroed,6,mean_pooled,pair_novel,0.533982,0.006012,10
attn_zeroed,6,mean_pooled,word_novel,0.49869,0.016854,10
attn_zeroed,6,words_only,pair_novel,0.515885,0.005497,10
attn_zeroed,6,words_only,word_novel,0.495224,0.026018,10
attn_zeroed,7,mean_pooled,pair_novel,0.535427,0.005825,10
attn_zeroed,7,mean_pooled,word_novel,0.502807,0.016392,10
attn_zeroed,7,words_only,pair_novel,0.516666,0.004718,10
attn_zeroed,7,words_only,word_novel,0.496979,0.024395,10
attn_zeroed,8,mean_pooled,pair_novel,0.535368,0.005844,10
attn_zeroed,8,mean_pooled,word_novel,0.502485,0.01649,10
attn_zeroed,8,words_only,pair_novel,0.520165,0.004823,10
attn_zeroed,8,words_only,word_novel,0.500659,0.023392,10
attn_zeroed,9,mean_pooled,pair_novel,0.533337,0.005212,10
attn_zeroed,9,mean_pooled,word_novel,0.502365,0.017551,10
attn_zeroed,9,words_only,pair_novel,0.516962,0.004487,10
attn_zeroed,9,words_only,word_novel,0.49811,0.0217,10
attn_zeroed,10,mean_pooled,pair_novel,0.526494,0.005265,10
attn_zeroed,10,mean_pooled,word_novel,0.499573,0.016117,10
attn_zeroed,10,words_only,pair_novel,0.51077,0.004848,10
attn_zeroed,10,words_only,word_novel,0.492836,0.019095,10
attn_zeroed,11,mean_pooled,pair_novel,0.513074,0.005685,10
attn_zeroed,11,mean_pooled,word_novel,0.489343,0.01617,10
attn_zeroed,11,words_only,pair_novel,0.501958,0.005544,10
attn_zeroed,11,words_only,word_novel,0.485786,0.019545,10
attn_zeroed,12,mean_pooled,pair_novel,0.48135,0.006035,10
attn_zeroed,12,mean_pooled,word_novel,0.456183,0.021029,10
attn_zeroed,12,words_only,pair_novel,0.462248,0.005096,10
attn_zeroed,12,words_only,word_novel,0.445229,0.021306,10
