condition,layer,mode,split,k,mean_r2,sd_r2
default,12,mean_pooled,pair_novel,1,0.242099,0.005302
default,12,mean_pooled,pair_novel,2,0.346483,0.005546
default,12,mean_pooled,pair_novel,3,0.404001,0.006914
default,12,mean_pooled,pair_novel,4,0.454686,0.006757
default,12,mean_pooled,pair_novel,5,0.478894,0.006067
default,12,mean_pooled,pair_novel,6,0.494596,0.00611
default,12,mean_pooled,pair_novel,7,0.516077,0.00593
default,12,mean_pooled,pair_novel,8,0.531233,0.005558
default,12,mean_pooled,pair_novel,9,0.543314,0.005575
default,12,mean_pooled,pair_novel,10,0.553664,0.005547
default,12,mean_pooled,pair_novel,11,0.563362,0.005627
default,12,mean_pooled,pair_novel,12,0.57133,0.005604
default,12,mean_pooled,pair_novel,13,0.578298,0.005819
default,12,mean_pooled,pair_novel,14,0.583242,0.005435
default,12,mean_pooled,pair_novel,15,0.587811,0.005186
default,12,mean_pooled,word_novel,1,0.231773,0.039821
default,12,mean_pooled,word_novel,2,0.325268,0.04041
default,12,mean_pooled,word_novel,3,0.376041,0.02774
default,12,mean_pooled,word_novel,4,0.417555,0.021605
default,12,mean_pooled,word_novel,5,0.43813,0.016995
default,12,mean_pooled,word_novel,6,0.448181,0.021871
default,12,mean_pooled,word_novel,7,0.464838,0.02606
default,12,mean_pooled,word_novel,8,0.475927,0.026232
default,12,mean_pooled,word_novel,9,0.485699,0.026002
default,12,mean_pooled,word_novel,10,0.491943,0.029078
default,12,mean_pooled,word_novel,11,0.498745,0.02913
default,12,mean_pooled,word_novel,12,0.506528,0.02859
default,12,mean_pooled,word_novel,13,0.510517,0.025579
default,12,mean_pooled,word_novel,14,0.513186,0.025725
default,12,mean_pooled,word_novel,15,0.517384,0.028163
default,12,words_only,pair_novel,1,0.078953,0.0021
default,12,words_only,pair_novel,2,0.149808,0.004182
default,12,words_only,pair_novel,3,0.200101,0.004353
default,12,words_only,pair_novel,4,0.231817,0.004515
default,12,words_only,pair_novel,5,0.258222,0.00395
default,12,words_only,pair_novel,6,0.269578,0.003577
default,12,words_only,pair_novel,7,0.281931,0.003265
default,12,words_only,pair_novel,8,0.292711,0.003758
default,12,words_only,pair_novel,9,0.300197,0.003487
default,12,words_only,pair_novel,10,0.30873,0.004334
default,12,words_only,pair_novel,11,0.315364,0.004716
default,12,words_only,pair_novel,12,0.320112,0.004945
default,12,words_only,pair_novel,13,0.324308,0.005363
default,12,words_only,pair_novel,14,0.327759,0.005407
default,12,words_only,pair_novel,15,0.330157,0.005428
default,12,words_only,word_novel,1,0.073477,0.011781
default,12,words_only,word_novel,2,0.127944,0.030505
default,12,words_only,word_novel,3,0.1652,0.030211
default,12,words_only,word_novel,4,0.18945,0.02602
default,12,words_only,word_novel,5,0.207607,0.022143
default,12,words_only,word_novel,6,0.21429,0.02302
default,12,words_only,word_novel,7,0.222831,0.027148
default,12,words_only,word_novel,8,0.228952,0.031897
default,12,words_only,word_novel,9,0.235747,0.0324
default,12,words_only,word_novel,10,0.237963,0.035252
default,12,words_only,word_novel,11,0.238937,0.034372
default,12,words_only,word_novel,12,0.239848,0.037595
default,12,words_only,word_novel,13,0.24072,0.036509
default,12,words_only,word_novel,14,0.242138,0.034471
default,12,words_only,word_novel,15,0.242589,0.034397
attn_zeroed,12,mean_pooled,pair_novel,1,0.219151,0.004136
attn_zeroed,12,mean_pooled,pair_novel,2,0.298637,0.004884
attn_zeroed,12,mean_pooled,pair_novel,3,0.348325,0.006333
attn_zeroed,12,mean_pooled,pair_novel,4,0.386925,0.0055
attn_zeroed,12,mean_pooled,pair_novel,5,0.416697,0.006173
attn_zeroed,12,mean_pooled,pair_novel,6,0.43592,0.005983
attn_zeroed,12,mean_pooled,pair_novel,7,0.453627,0.005012
attn_zeroed,12,mean_pooled,pair_novel,8,0.468272,0.005509
attn_zeroed,12,mean_pooled,pair_novel,9,0.478503,0.005224
attn_zeroed,12,mean_pooled,pair_novel,10,0.489955,0.0056
attn_zeroed,12,mean_pooled,pair_novel,11,0.49913,0.005332
attn_zeroed,12,mean_pooled,pair_novel,12,0.506567,0.00545
attn_zeroed,12,mean_pooled,pair_novel,13,0.514152,0.004875
attn_zeroed,12,mean_pooled,pair_novel,14,0.519268,0.004886
attn_zeroed,12,mean_pooled,pair_novel,15,0.524188,0.005299
attn_zeroed,12,mean_pooled,word_novel,1,0.217493,0.03573
attn_zeroed,12,mean_pooled,word_novel,2,0.271222,0.04891
attn_zeroed,12,mean_pooled,word_novel,3,0.303107,0.043325
attn_zeroed,12,mean_pooled,word_novel,4,0.329944,0.043271
attn_zeroed,12,mean_pooled,word_novel,5,0.34668,0.039464
attn_zeroed,12,mean_pooled,word_novel,6,0.361021,0.04064
