condition,layer,mode,split,k,mean_r2,sd_r2
default,16,mean_pooled,pair_novel,1,0.426934,0.008283
default,16,mean_pooled,pair_novel,2,0.520079,0.006551
default,16,mean_pooled,pair_novel,3,0.547569,0.006177
default,16,mean_pooled,pair_novel,4,0.577671,0.006111
default,16,mean_pooled,pair_novel,5,0.592484,0.006136
default,16,mean_pooled,pair_novel,6,0.603761,0.006123
default,16,mean_pooled,pair_novel,7,0.614255,0.005221
default,16,mean_pooled,pair_novel,8,0.622599,0.005305
default,16,mean_pooled,pair_novel,9,0.630312,0.00518
default,16,mean_pooled,pair_novel,10,0.636414,0.004896
default,16,mean_pooled,pair_novel,11,0.640978,0.004497
default,16,mean_pooled,pair_novel,12,0.645784,0.004553
default,16,mean_pooled,pair_novel,13,0.649379,0.004798
default,16,mean_pooled,pair_novel,14,0.65261,0.004663
default,16,mean_pooled,pair_novel,15,0.655895,0.004629
default,16,mean_pooled,word_novel,1,0.420811,0.025818
default,16,mean_pooled,word_novel,2,0.51323,0.021887
default,16,mean_pooled,word_novel,3,0.538341,0.019734
default,16,mean_pooled,word_novel,4,0.562941,0.018796
default,16,mean_pooled,word_novel,5,0.575026,0.020119
default,16,mean_pooled,word_novel,6,0.58561,0.023412
default,16,mean_pooled,word_novel,7,0.593202,0.024423
default,16,mean_pooled,word_novel,8,0.599038,0.023491
default,16,mean_pooled,word_novel,9,0.605431,0.023395
default,16,mean_pooled,word_novel,10,0.609538,0.023584
default,16,mean_pooled,word_novel,11,0.612344,0.023907
default,16,mean_pooled,word_novel,12,0.615982,0.023828
default,16,mean_pooled,word_novel,13,0.619001,0.023117
default,16,mean_pooled,word_novel,14,0.621497,0.022488
default,16,mean_pooled,word_novel,15,0.623919,0.021233
default,16,words_only,pair_novel,1,0.388798,0.006358
default,16,words_only,pair_novel,2,0.478832,0.007317
default,16,words_only,pair_novel,3,0.506888,0.006101
default,16,words_only,pair_novel,4,0.52844,0.005949
default,16,words_only,pair_novel,5,0.540073,0.005834
default,16,words_only,pair_novel,6,0.549865,0.005283
default,16,words_only,pair_novel,7,0.557346,0.004742
default,16,words_only,pair_novel,8,0.563582,0.004344
default,16,words_only,pair_novel,9,0.569158,0.004418
default,16,words_only,pair_novel,10,0.574235,0.004568
default,16,words_only,pair_novel,11,0.578131,0.004619
default,16,words_only,pair_novel,12,0.581403,0.004806
default,16,words_only,pair_novel,13,0.584121,0.004724
default,16,words_only,pair_novel,14,0.586386,0.004974
default,16,words_only,pair_novel,15,0.588717,0.005121
default,16,words_only,word_novel,1,0.384172,0.027969
default,16,words_only,word_novel,2,0.471333,0.026416
default,16,words_only,word_novel,3,0.495077,0.024497
default,16,words_only,word_novel,4,0.510914,0.01826
default,16,words_only,word_novel,5,0.519987,0.017987
default,16,words_only,word_novel,6,0.527294,0.020941
default,16,words_only,word_novel,7,0.533315,0.020001
default,16,words_only,word_novel,8,0.535977,0.019223
default,16,words_only,word_novel,9,0.538706,0.018857
default,16,words_only,word_novel,10,0.542143,0.019165
default,16,words_only,word_novel,11,0.544334,0.019557
default,16,words_only,word_novel,12,0.545769,0.020189
default,16,words_only,word_novel,13,0.547075,0.021221
default,16,words_only,word_novel,14,0.547649,0.021191
default,16,words_only,word_novel,15,0.548565,0.020043
attn_zeroed,16,mean_pooled,pair_novel,1,0.457914,0.006777
attn_zeroed,16,mean_pooled,pair_novel,2,0.542127,0.006886
attn_zeroed,16,mean_pooled,pair_novel,3,0.580387,0.005998
attn_zeroed,16,mean_pooled,pair_novel,4,0.603468,0.005893
attn_zeroed,16,mean_pooled,pair_novel,5,0.61945,0.005897
attn_zeroed,16,mean_pooled,pair_novel,6,0.633161,0.005497
attn_zeroed,16,mean_pooled,pair_novel,7,0.640888,0.005459
attn_zeroed,16,mean_pooled,pair_novel,8,0.648443,0.005559
attn_zeroed,16,mean_pooled,pair_novel,9,0.654763,0.005384
attn_zeroed,16,mean_pooled,pair_novel,10,0.659304,0.005022
attn_zeroed,16,mean_pooled,pair_novel,11,0.6642,0.00489
attn_zeroed,16,mean_pooled,pair_novel,12,0.668393,0.004566
attn_zeroed,16,mean_pooled,pair_novel,13,0.671622,0.004948
attn_zeroed,16,mean_pooled,pair_novel,14,0.674849,0.004852
attn_zeroed,16,mean_pooled,pair_novel,15,0.677506,0.005051
attn_zeroed,16,mean_pooled,word_novel,1,0.454328,0.025177
attn_zeroed,16,mean_pooled,word_novel,2,0.534129,0.021876
attn_zeroed,16,mean_pooled,word_novel,3,0.563952,0.027546
attn_zeroed,16,mean_pooled,word_novel,4,0.579376,0.02441
attn_zeroed,16,mean_pooled,word_novel,5,0.589311,0.023044
attn_zeroed,16,mean_pooled,word_novel,6,0.596737,0.02287
attn_zeroed,16,mean_pooled,word_novel,7,0.59979,0.021297
attn_zeroed,16,mean_pooled,word_novel,8,0.604043,0.021413
attn_zeroed,16,mean_pooled,word_novel,9,0.607078,0.021865
attn_zeroed,16,mean_pooled,word_novel,10,0.608463,0.02168
attn_zeroed,16,mean_pooled,word_novel,11,0.61137,0.022817
attn_zeroed,16,mean_pooled,word_novel,12,0.612741,0.021466
attn_zeroed,16,mean_pooled,word_novel,13,0.61531,0.021644
attn_zeroed,16,mean_pooled,word_novel,14,0.615818,0.022162
attn_zeroed,16,mean_pooled,word_novel,15,0.616755,0.021844
attn_zeroed,16,words_only,pair_novel,1,0.384223,0.006332
attn_zeroed,16,words_only,pair_novel,2,0.476185,0.007913
attn_zeroed,16,words_only,pair_novel,3,0.507957,0.007297
attn_zeroed,16,words_only,pair_novel,4,0.531516,0.007133
attn_zeroed,16,words_only,pair_novel,5,0.544051,0.007024
attn_zeroed,16,words_only,pair_novel,6,0.554872,0.006014
attn_zeroed,16,words_only,pair_novel,7,0.562829,0.005441
attn_zeroed,16,words_only,pair_novel,8,0.569754,0.004841
attn_zeroed,16,words_only,pair_novel,9,0.576034,0.004832
attn_zeroed,16,words_only,pair_novel,10,0.581387,0.005065
attn_zeroed,16,words_only,pair_novel,11,0.585592,0.005041
attn_zeroed,16,words_only,pair_novel,12,0.589032,0.004838
attn_zeroed,16,words_only,pair_novel,13,0.591809,0.004817
attn_zeroed,16,words_only,pair_novel,14,0.594377,0.004881
attn_zeroed,16,words_only,pair_novel,15,0.596781,0.004949
attn_zeroed,16,words_only,word_novel,1,0.380149,0.023989
attn_zeroed,16,words_only,word_novel,2,0.46684,0.025732
attn_zeroed,16,words_only,word_novel,3,0.493856,0.02439
attn_zeroed,16,words_only,word_novel,4,0.511491,0.019478
attn_zeroed,16,words_only,word_novel,5,0.521738,0.019603
attn_zeroed,16,words_only,word_novel,6,0.529817,0.022296
attn_zeroed,16,words_only,word_novel,7,0.535758,0.021015
attn_zeroed,16,words_only,word_novel,8,0.538687,0.020958
