condition,layer,mode,split,k,mean_r2,sd_r2
default,32,mean_pooled,pair_novel,1,0.171602,0.003983
default,32,mean_pooled,pair_novel,2,0.293485,0.002035
default,32,mean_pooled,pair_novel,3,0.345261,0.00205
default,32,mean_pooled,pair_novel,4,0.388556,0.001576
default,32,mean_pooled,pair_novel,5,0.426663,0.002495
default,32,mean_pooled,pair_novel,6,0.448257,0.003185
default,32,mean_pooled,pair_novel,7,0.465471,0.003682
default,32,mean_pooled,pair_novel,8,0.477997,0.004111
default,32,mean_pooled,pair_novel,9,0.490205,0.003847
default,32,mean_pooled,pair_novel,10,0.501488,0.004324
default,32,mean_pooled,pair_novel,11,0.509584,0.004402
default,32,mean_pooled,pair_novel,12,0.516378,0.004204
default,32,mean_pooled,pair_novel,13,0.520912,0.00428
default,32,mean_pooled,pair_novel,14,0.526486,0.00417
default,32,mean_pooled,pair_novel,15,0.531025,0.004368
default,32,mean_pooled,word_novel,1,0.170853,0.020826
default,32,mean_pooled,word_novel,2,0.284765,0.024626
default,32,mean_pooled,word_novel,3,0.338532,0.019422
default,32,mean_pooled,word_novel,4,0.377493,0.021749
default,32,mean_pooled,word_novel,5,0.412618,0.020678
default,32,mean_pooled,word_novel,6,0.430192,0.018897
default,32,mean_pooled,word_novel,7,0.446074,0.019168
default,32,mean_pooled,word_novel,8,0.455238,0.020153
default,32,mean_pooled,word_novel,9,0.465686,0.020467
default,32,mean_pooled,word_novel,10,0.475513,0.021744
default,32,mean_pooled,word_novel,11,0.483747,0.021067
default,32,mean_pooled,word_novel,12,0.490073,0.022113
default,32,mean_pooled,word_novel,13,0.493956,0.022176
default,32,mean_pooled,word_novel,14,0.497937,0.02275
default,32,mean_pooled,word_novel,15,0.501499,0.022485
default,32,words_only,pair_novel,1,0.105116,0.002882
default,32,words_only,pair_novel,2,0.232276,0.00416
default,32,words_only,pair_novel,3,0.289014,0.004403
default,32,words_only,pair_novel,4,0.330738,0.004239
default,32,words_only,pair_novel,5,0.355772,0.004933
default,32,words_only,pair_novel,6,0.385084,0.003823
default,32,words_only,pair_novel,7,0.406113,0.003367
default,32,words_only,pair_novel,8,0.416811,0.003545
default,32,words_only,pair_novel,9,0.42933,0.003503
default,32,words_only,pair_novel,10,0.439392,0.002884
default,32,words_only,pair_novel,11,0.447234,0.002787
default,32,words_only,pair_novel,12,0.452887,0.002556
default,32,words_only,pair_novel,13,0.457163,0.002754
default,32,words_only,pair_novel,14,0.460571,0.002861
default,32,words_only,pair_novel,15,0.464196,0.002716
default,32,words_only,word_novel,1,0.110715,0.015504
default,32,words_only,word_novel,2,0.231925,0.022251
default,32,words_only,word_novel,3,0.28616,0.018807
default,32,words_only,word_novel,4,0.322324,0.018225
default,32,words_only,word_novel,5,0.34384,0.018766
default,32,words_only,word_novel,6,0.370189,0.021776
default,32,words_only,word_novel,7,0.385396,0.021042
default,32,words_only,word_novel,8,0.393208,0.020641
default,32,words_only,word_novel,9,0.403301,0.018935
default,32,words_only,word_novel,10,0.411792,0.020095
default,32,words_only,word_novel,11,0.417581,0.019964
default,32,words_only,word_novel,12,0.421832,0.020057
default,32,words_only,word_novel,13,0.426536,0.020876
default,32,words_only,word_novel,14,0.429661,0.020684
default,32,words_only,word_novel,15,0.431638,0.021036
attn_zeroed,32,mean_pooled,pair_novel,1,0.135932,0.003862
attn_zeroed,32,mean_pooled,pair_novel,2,0.254097,0.004322
attn_zeroed,32,mean_pooled,pair_novel,3,0.33294,0.004265
attn_zeroed,32,mean_pooled,pair_novel,4,0.392241,0.004548
attn_zeroed,32,mean_pooled,pair_novel,5,0.42706,0.004034
attn_zeroed,32,mean_pooled,pair_novel,6,0.44751,0.004163
attn_zeroed,32,mean_pooled,pair_novel,7,0.464571,0.003784
attn_zeroed,32,mean_pooled,pair_novel,8,0.486002,0.004109
attn_zeroed,32,mean_pooled,pair_novel,9,0.500869,0.004286
attn_zeroed,32,mean_pooled,pair_novel,10,0.518677,0.004532
attn_zeroed,32,mean_pooled,pair_novel,11,0.527296,0.004558
