condition,layer,mode,split,k,mean_r2,sd_r2
default,36,mean_pooled,pair_novel,1,0.242663,0.005859
default,36,mean_pooled,pair_novel,2,0.334396,0.006437
default,36,mean_pooled,pair_novel,3,0.363543,0.005576
default,36,mean_pooled,pair_novel,4,0.380716,0.00562
default,36,mean_pooled,pair_novel,5,0.391196,0.005733
default,36,mean_pooled,pair_novel,6,0.398848,0.005507
default,36,mean_pooled,pair_novel,7,0.40348,0.005042
default,36,mean_pooled,pair_novel,8,0.406719,0.005013
default,36,mean_pooled,pair_novel,9,0.409129,0.005097
default,36,mean_pooled,pair_novel,10,0.410404,0.005019
default,36,mean_pooled,pair_novel,11,0.41162,0.005096
default,36,mean_pooled,pair_novel,12,0.412313,0.005195
default,36,mean_pooled,pair_novel,13,0.412823,0.00517
default,36,mean_pooled,pair_novel,14,0.413161,0.005062
default,36,mean_pooled,pair_novel,15,0.41343,0.005102
default,36,mean_pooled,word_novel,1,0.23972,0.020147
default,36,mean_pooled,word_novel,2,0.324903,0.020282
default,36,mean_pooled,word_novel,3,0.349756,0.028608
default,36,mean_pooled,word_novel,4,0.363926,0.029803
default,36,mean_pooled,word_novel,5,0.372242,0.032038
default,36,mean_pooled,word_novel,6,0.378871,0.033852
default,36,mean_pooled,word_novel,7,0.381826,0.034306
default,36,mean_pooled,word_novel,8,0.383842,0.034366
default,36,mean_pooled,word_novel,9,0.386168,0.03395
default,36,mean_pooled,word_novel,10,0.3875,0.03422
default,36,mean_pooled,word_novel,11,0.388222,0.033212
default,36,mean_pooled,word_novel,12,0.389164,0.033664
default,36,mean_pooled,word_novel,13,0.389774,0.033811
default,36,mean_pooled,word_novel,14,0.389958,0.034134
default,36,mean_pooled,word_novel,15,0.390251,0.0339
default,36,words_only,pair_novel,1,0.185827,0.004931
default,36,words_only,pair_novel,2,0.280006,0.004987
default,36,words_only,pair_novel,3,0.31772,0.005571
default,36,words_only,pair_novel,4,0.334834,0.005776
default,36,words_only,pair_novel,5,0.34314,0.005927
default,36,words_only,pair_novel,6,0.352488,0.006262
