condition,layer,mode,split,k,mean_r2,sd_r2
default,24,mean_pooled,pair_novel,1,0.230616,0.007139
default,24,mean_pooled,pair_novel,2,0.313545,0.006824
default,24,mean_pooled,pair_novel,3,0.342489,0.006107
default,24,mean_pooled,pair_novel,4,0.363347,0.005658
default,24,mean_pooled,pair_novel,5,0.37378,0.005866
default,24,mean_pooled,pair_novel,6,0.380262,0.00579
default,24,mean_pooled,pair_novel,7,0.384869,0.005974
default,24,mean_pooled,pair_novel,8,0.388434,0.006254
default,24,mean_pooled,pair_novel,9,0.390659,0.006393
default,24,mean_pooled,pair_novel,10,0.391987,0.006367
default,24,mean_pooled,pair_novel,11,0.393066,0.006491
default,24,mean_pooled,pair_novel,12,0.393815,0.006618
default,24,mean_pooled,pair_novel,13,0.394198,0.006577
default,24,mean_pooled,pair_novel,14,0.39457,0.006505
default,24,mean_pooled,pair_novel,15,0.394807,0.006539
default,24,mean_pooled,word_novel,1,0.232096,0.028016
default,24,mean_pooled,word_novel,2,0.305999,0.025979
default,24,mean_pooled,word_novel,3,0.332828,0.025546
default,24,mean_pooled,word_novel,4,0.346319,0.028985
default,24,mean_pooled,word_novel,5,0.354037,0.02625
default,24,mean_pooled,word_novel,6,0.360426,0.026663
default,24,mean_pooled,word_novel,7,0.363357,0.024537
default,24,mean_pooled,word_novel,8,0.366235,0.025659
default,24,mean_pooled,word_novel,9,0.368186,0.026329
default,24,mean_pooled,word_novel,10,0.369093,0.027167
default,24,mean_pooled,word_novel,11,0.369601,0.026785
default,24,mean_pooled,word_novel,12,0.370253,0.02672
default,24,mean_pooled,word_novel,13,0.370651,0.026823
default,24,mean_pooled,word_novel,14,0.371065,0.026828
default,24,mean_pooled,word_novel,15,0.371382,0.026882
default,24,words_only,pair_novel,1,0.201578,0.007217
default,24,words_only,pair_novel,2,0.27995,0.006283
default,24,words_only,pair_novel,3,0.311704,0.006596
default,24,words_only,pair_novel,4,0.327124,0.006269
default,24,words_only,pair_novel,5,0.337078,0.00605
default,24,words_only,pair_novel,6,0.344553,0.006331
default,24,words_only,pair_novel,7,0.349123,0.006484
default,24,words_only,pair_novel,8,0.352259,0.00636
default,24,words_only,pair_novel,9,0.354366,0.006374
default,24,words_only,pair_novel,10,0.355692,0.006496
default,24,words_only,pair_novel,11,0.356528,0.006647
default,24,words_only,pair_novel,12,0.357124,0.00671
default,24,words_only,pair_novel,13,0.357573,0.006765
default,24,words_only,pair_novel,14,0.35794,0.006751
default,24,words_only,pair_novel,15,0.358155,0.006767
default,24,words_only,word_novel,1,0.205457,0.025998
default,24,words_only,word_novel,2,0.275237,0.026188
default,24,words_only,word_novel,3,0.300767,0.025135
default,24,words_only,word_novel,4,0.313756,0.026417
default,24,words_only,word_novel,5,0.321249,0.024676
default,24,words_only,word_novel,6,0.327778,0.020994
default,24,words_only,word_novel,7,0.331104,0.021001
default,24,words_only,word_novel,8,0.332926,0.021506
default,24,words_only,word_novel,9,0.335405,0.020275
default,24,words_only,word_novel,10,0.3364,0.019439
default,24,words_only,word_novel,11,0.337015,0.020245
default,24,words_only,word_novel,12,0.337515,0.02051
default,24,words_only,word_novel,13,0.33759,0.020904
default,24,words_only,word_novel,14,0.338342,0.020931
default,24,words_only,word_novel,15,0.338743,0.020809
attn_zeroed,24,mean_pooled,pair_novel,1,0.272964,0.007635
attn_zeroed,24,mean_pooled,pair_novel,2,0.394994,0.006575
attn_zeroed,24,mean_pooled,pair_novel,3,0.466953,0.00463
attn_zeroed,24,mean_pooled,pair_novel,4,0.528758,0.00455
attn_zeroed,24,mean_pooled,pair_novel,5,0.561832,0.006056
attn_zeroed,24,mean_pooled,pair_novel,6,0.57667,0.006295
attn_zeroed,24,mean_pooled,pair_novel,7,0.588384,0.005669
attn_zeroed,24,mean_pooled,pair_novel,8,0.598263,0.006142
attn_zeroed,24,mean_pooled,pair_novel,9,0.603565,0.006518
attn_zeroed,24,mean_pooled,pair_novel,10,0.607753,0.006437
attn_zeroed,24,mean_pooled,pair_novel,11,0.611379,0.006413
attn_zeroed,24,mean_pooled,pair_novel,12,0.614085,0.006289
attn_zeroed,24,mean_pooled,pair_novel,13,0.615906,0.006399
attn_zeroed,24,mean_pooled,pair_novel,14,0.617114,0.006307
attn_zeroed,24,mean_pooled,pair_novel,15,0.617911,0.006433
attn_zeroed,24,mean_pooled,word_novel,1,0.259923,0.054017
attn_zeroed,24,mean_pooled,word_novel,2,0.376478,0.047328
attn_zeroed,24,mean_pooled,word_novel,3,0.445837,0.053309
attn_zeroed,24,mean_pooled,word_novel,4,0.504307,0.044626
attn_zeroed,24,mean_pooled,word_novel,5,0.53174,0.043411
attn_zeroed,24,mean_pooled,word_novel,6,0.544439,0.041242
attn_zeroed,24,mean_pooled,word_novel,7,0.551081,0.041021
attn_zeroed,24,mean_pooled,word_novel,8,0.556587,0.039614
attn_zeroed,24,mean_pooled,word_novel,9,0.558742,0.039924
attn_zeroed,24,mean_pooled,word_novel,10,0.560271,0.040756
attn_zeroed,24,mean_pooled,word_novel,11,0.561521,0.042543
attn_zeroed,24,mean_pooled,word_novel,12,0.562541,0.042744
attn_zeroed,24,mean_pooled,word_novel,13,0.563587,0.043547
attn_zeroed,24,mean_pooled,word_novel,14,0.565136,0.042606
attn_zeroed,24,mean_pooled,word_novel,15,0.565204,0.042262
attn_zeroed,24,words_only,pair_novel,1,0.068965,0.002458
attn_zeroed,24,words_only,pair_novel,2,0.111102,0.004531
attn_zeroed,24,words_only,pair_novel,3,0.145625,0.00546
attn_zeroed,24,words_only,pair_novel,4,0.157831,0.005547
attn_zeroed,24,words_only,pair_novel,5,0.172453,0.005834
attn_zeroed,24,words_only,pair_novel,6,0.181321,0.005717
attn_zeroed,24,words_only,pair_novel,7,0.186889,0.0057
attn_zeroed,24,words_only,pair_novel,8,0.190602,0.005572
attn_zeroed,24,words_only,pair_novel,9,0.193256,0.005495
attn_zeroed,24,words_only,pair_novel,10,0.194552,0.005601
attn_zeroed,24,words_only,pair_novel,11,0.195599,0.005722
attn_zeroed,24,words_only,pair_novel,12,0.196229,0.005766
attn_zeroed,24,words_only,pair_novel,13,0.196712,0.005723
attn_zeroed,24,words_only,pair_novel,14,0.197024,0.00575
attn_zeroed,24,words_only,pair_novel,15,0.197259,0.005781
attn_zeroed,24,words_only,word_novel,1,0.059273,0.01374
attn_zeroed,24,words_only,word_novel,2,0.095422,0.022672
attn_zeroed,24,words_only,word_novel,3,0.124274,0.024825
attn_zeroed,24,words_only,word_novel,4,0.137737,0.023103
attn_zeroed,24,words_only,word_novel,5,0.14928,0.024198
attn_zeroed,24,words_only,word_novel,6,0.155951,0.022197
attn_zeroed,24,words_only,word_novel,7,0.159923,0.023946
attn_zeroed,24,words_only,word_novel,8,0.162933,0.02382
attn_zeroed,24,words_only,word_novel,9,0.165378,0.024544
attn_zeroed,24,words_only,word_novel,10,0.166607,0.02363
attn_zeroed,24,words_only,word_novel,11,0.167278,0.024089
attn_zeroed,24,words_only,word_novel,12,0.16789,0.024005
attn_zeroed,24,words_only,word_novel,13,0.16817,0.024307
attn_zeroed,24,words_only,word_novel,14,0.168531,0.024059
attn_zeroed,24,words_only,word_novel,15,0.169094,0.024436
