condition,layer,mode,split,k,mean_r2,sd_r2
default,48,mean_pooled,pair_novel,1,0.225522,0.005977
default,48,mean_pooled,pair_novel,2,0.314536,0.006294
default,48,mean_pooled,pair_novel,3,0.344031,0.005918
default,48,mean_pooled,pair_novel,4,0.36113,0.006433
default,48,mean_pooled,pair_novel,5,0.370019,0.006391
default,48,mean_pooled,pair_novel,6,0.377748,0.006574
default,48,mean_pooled,pair_novel,7,0.382158,0.00639
default,48,mean_pooled,pair_novel,8,0.385286,0.006257
default,48,mean_pooled,pair_novel,9,0.387442,0.006325
default,48,mean_pooled,pair_novel,10,0.388749,0.006365
default,48,mean_pooled,pair_novel,11,0.389966,0.006259
default,48,mean_pooled,pair_novel,12,0.390778,0.006196
default,48,mean_pooled,pair_novel,13,0.391484,0.006102
default,48,mean_pooled,pair_novel,14,0.391989,0.006184
default,48,mean_pooled,pair_novel,15,0.392304,0.00621
default,48,mean_pooled,word_novel,1,0.22899,0.018428
default,48,mean_pooled,word_novel,2,0.3052,0.030681
default,48,mean_pooled,word_novel,3,0.329905,0.028793
default,48,mean_pooled,word_novel,4,0.342929,0.032578
default,48,mean_pooled,word_novel,5,0.35044,0.03184
default,48,mean_pooled,word_novel,6,0.356832,0.03463
default,48,mean_pooled,word_novel,7,0.359565,0.035234
default,48,mean_pooled,word_novel,8,0.361857,0.033557
default,48,mean_pooled,word_novel,9,0.363006,0.033497
default,48,mean_pooled,word_novel,10,0.363489,0.034632
default,48,mean_pooled,word_novel,11,0.364171,0.03506
default,48,mean_pooled,word_novel,12,0.36552,0.034821
default,48,mean_pooled,word_novel,13,0.366144,0.035712
default,48,mean_pooled,word_novel,14,0.366347,0.035862
default,48,mean_pooled,word_novel,15,0.366251,0.035656
default,48,words_only,pair_novel,1,0.171725,0.00483
default,48,words_only,pair_novel,2,0.262072,0.00495
default,48,words_only,pair_novel,3,0.29621,0.005182
default,48,words_only,pair_novel,4,0.316065,0.005588
default,48,words_only,pair_novel,5,0.322413,0.005287
default,48,words_only,pair_novel,6,0.331204,0.005703
default,48,words_only,pair_novel,7,0.335739,0.005612
default,48,words_only,pair_novel,8,0.339502,0.005774
default,48,words_only,pair_novel,9,0.341849,0.00562
default,48,words_only,pair_novel,10,0.343288,0.005391
default,48,words_only,pair_novel,11,0.344265,0.005236
default,48,words_only,pair_novel,12,0.344879,0.005192
default,48,words_only,pair_novel,13,0.345415,0.005131
default,48,words_only,pair_novel,14,0.34589,0.005172
default,48,words_only,pair_novel,15,0.346213,0.005253
default,48,words_only,word_novel,1,0.174047,0.019126
default,48,words_only,word_novel,2,0.25437,0.018837
default,48,words_only,word_novel,3,0.280509,0.02273
