condition,layer,mode,split,k,mean_r2,sd_r2
default,24,mean_pooled,pair_novel,1,0.132199,0.005884
default,24,mean_pooled,pair_novel,2,0.198061,0.007803
default,24,mean_pooled,pair_novel,3,0.251165,0.008731
default,24,mean_pooled,pair_novel,4,0.28556,0.008076
default,24,mean_pooled,pair_novel,5,0.319426,0.006864
default,24,mean_pooled,pair_novel,6,0.342923,0.006638
default,24,mean_pooled,pair_novel,7,0.364293,0.007422
default,24,mean_pooled,pair_novel,8,0.379743,0.007672
default,24,mean_pooled,pair_novel,9,0.393372,0.008531
default,24,mean_pooled,pair_novel,10,0.405422,0.008237
default,24,mean_pooled,pair_novel,11,0.416708,0.007763
default,24,mean_pooled,pair_novel,12,0.425501,0.007063
default,24,mean_pooled,pair_novel,13,0.431624,0.006508
default,24,mean_pooled,pair_novel,14,0.437518,0.007207
default,24,mean_pooled,pair_novel,15,0.442681,0.007023
default,24,mean_pooled,word_novel,1,0.108399,0.037863
default,24,mean_pooled,word_novel,2,0.147694,0.025348
default,24,mean_pooled,word_novel,3,0.168575,0.027814
default,24,mean_pooled,word_novel,4,0.182736,0.034383
default,24,mean_pooled,word_novel,5,0.19523,0.032055
default,24,mean_pooled,word_novel,6,0.208155,0.042465
default,24,mean_pooled,word_novel,7,0.222493,0.039929
default,24,mean_pooled,word_novel,8,0.232383,0.036916
default,24,mean_pooled,word_novel,9,0.239673,0.031503
default,24,mean_pooled,word_novel,10,0.246379,0.035946
default,24,mean_pooled,word_novel,11,0.257399,0.035294
default,24,mean_pooled,word_novel,12,0.259407,0.031241
default,24,mean_pooled,word_novel,13,0.267566,0.032162
default,24,mean_pooled,word_novel,14,0.271214,0.037732
default,24,mean_pooled,word_novel,15,0.275131,0.034474
default,24,words_only,pair_novel,1,0.085272,0.004609
default,24,words_only,pair_novel,2,0.128006,0.005289
default,24,words_only,pair_novel,3,0.157484,0.007088
default,24,words_only,pair_novel,4,0.18207,0.005769
default,24,words_only,pair_novel,5,0.20515,0.006276
default,24,words_only,pair_novel,6,0.222434,0.005931
default,24,words_only,pair_novel,7,0.237078,0.006638
default,24,words_only,pair_novel,8,0.246578,0.007291
default,24,words_only,pair_novel,9,0.254829,0.00681
default,24,words_only,pair_novel,10,0.261471,0.006458
default,24,words_only,pair_novel,11,0.268736,0.00667
default,24,words_only,pair_novel,12,0.273362,0.006575
default,24,words_only,pair_novel,13,0.277368,0.006315
default,24,words_only,pair_novel,14,0.281042,0.006251
default,24,words_only,pair_novel,15,0.284088,0.00622
default,24,words_only,word_novel,1,0.065103,0.021328
default,24,words_only,word_novel,2,0.089834,0.025514
default,24,words_only,word_novel,3,0.100445,0.020412
default,24,words_only,word_novel,4,0.106004,0.032912
default,24,words_only,word_novel,5,0.104802,0.02739
default,24,words_only,word_novel,6,0.104394,0.029278
default,24,words_only,word_novel,7,0.107788,0.029178
default,24,words_only,word_novel,8,0.109639,0.025548
default,24,words_only,word_novel,9,0.113801,0.025754
default,24,words_only,word_novel,10,0.11723,0.029247
default,24,words_only,word_novel,11,0.122808,0.031797
default,24,words_only,word_novel,12,0.124803,0.031285
default,24,words_only,word_novel,13,0.125068,0.031034
default,24,words_only,word_novel,14,0.12503,0.032389
default,24,words_only,word_novel,15,0.12505,0.032764
attn_zeroed,24,mean_pooled,pair_novel,1,0.119276,0.007256
attn_zeroed,24,mean_pooled,pair_novel,2,0.23252,0.008265
attn_zeroed,24,mean_pooled,pair_novel,3,0.401684,0.008199
attn_zeroed,24,mean_pooled,pair_novel,4,0.516775,0.008275
attn_zeroed,24,mean_pooled,pair_novel,5,0.565776,0.00784
attn_zeroed,24,mean_pooled,pair_novel,6,0.598685,0.00781
attn_zeroed,24,mean_pooled,pair_novel,7,0.632208,0.007584
attn_zeroed,24,mean_pooled,pair_novel,8,0.648101,0.007347
attn_zeroed,24,mean_pooled,pair_novel,9,0.669582,0.006696
attn_zeroed,24,mean_pooled,pair_novel,10,0.686861,0.006815
attn_zeroed,24,mean_pooled,pair_novel,11,0.698114,0.006731
attn_zeroed,24,mean_pooled,pair_novel,12,0.707031,0.006563
attn_zeroed,24,mean_pooled,pair_novel,13,0.714026,0.006318
attn_zeroed,24,mean_pooled,pair_novel,14,0.721083,0.00606
attn_zeroed,24,mean_pooled,pair_novel,15,0.725928,0.005485
