condition,layer,mode,split,k,mean_r2,sd_r2
default,12,mean_pooled,pair_novel,1,0.110432,0.004602
default,12,mean_pooled,pair_novel,2,0.178585,0.006737
default,12,mean_pooled,pair_novel,3,0.202854,0.007631
default,12,mean_pooled,pair_novel,4,0.227576,0.008078
default,12,mean_pooled,pair_novel,5,0.243279,0.007512
default,12,mean_pooled,pair_novel,6,0.254193,0.00727
default,12,mean_pooled,pair_novel,7,0.272872,0.007161
default,12,mean_pooled,pair_novel,8,0.28395,0.00669
default,12,mean_pooled,pair_novel,9,0.292368,0.007634
default,12,mean_pooled,pair_novel,10,0.302653,0.007127
default,12,mean_pooled,pair_novel,11,0.313252,0.006426
default,12,mean_pooled,pair_novel,12,0.321381,0.006738
default,12,mean_pooled,pair_novel,13,0.327199,0.006627
default,12,mean_pooled,pair_novel,14,0.333224,0.006597
default,12,mean_pooled,pair_novel,15,0.3386,0.006993
default,12,mean_pooled,word_novel,1,0.097941,0.028031
default,12,mean_pooled,word_novel,2,0.147502,0.042356
default,12,mean_pooled,word_novel,3,0.158168,0.038241
default,12,mean_pooled,word_novel,4,0.16179,0.043908
default,12,mean_pooled,word_novel,5,0.168446,0.042885
default,12,mean_pooled,word_novel,6,0.168413,0.04559
default,12,mean_pooled,word_novel,7,0.176299,0.034563
default,12,mean_pooled,word_novel,8,0.179362,0.031715
default,12,mean_pooled,word_novel,9,0.182532,0.031969
default,12,mean_pooled,word_novel,10,0.189192,0.033339
default,12,mean_pooled,word_novel,11,0.195591,0.037554
default,12,mean_pooled,word_novel,12,0.199938,0.03309
default,12,mean_pooled,word_novel,13,0.200959,0.033316
default,12,mean_pooled,word_novel,14,0.204014,0.036473
default,12,mean_pooled,word_novel,15,0.207723,0.040851
default,12,words_only,pair_novel,1,0.061838,0.004211
default,12,words_only,pair_novel,2,0.115974,0.005906
default,12,words_only,pair_novel,3,0.135268,0.007066
default,12,words_only,pair_novel,4,0.158053,0.007053
default,12,words_only,pair_novel,5,0.169886,0.007899
default,12,words_only,pair_novel,6,0.181396,0.007707
default,12,words_only,pair_novel,7,0.18704,0.007647
default,12,words_only,pair_novel,8,0.196072,0.008004
default,12,words_only,pair_novel,9,0.203089,0.008207
default,12,words_only,pair_novel,10,0.207849,0.007959
default,12,words_only,pair_novel,11,0.212084,0.007646
default,12,words_only,pair_novel,12,0.216479,0.007468
default,12,words_only,pair_novel,13,0.219332,0.007167
default,12,words_only,pair_novel,14,0.222323,0.00729
default,12,words_only,pair_novel,15,0.224714,0.007422
default,12,words_only,word_novel,1,0.057907,0.02667
default,12,words_only,word_novel,2,0.089282,0.023102
default,12,words_only,word_novel,3,0.100629,0.030963
default,12,words_only,word_novel,4,0.105319,0.040817
default,12,words_only,word_novel,5,0.107158,0.038157
default,12,words_only,word_novel,6,0.109375,0.035449
default,12,words_only,word_novel,7,0.109259,0.032464
default,12,words_only,word_novel,8,0.112731,0.027386
default,12,words_only,word_novel,9,0.113134,0.026823
default,12,words_only,word_novel,10,0.114471,0.025791
default,12,words_only,word_novel,11,0.115574,0.025498
default,12,words_only,word_novel,12,0.115504,0.026377
default,12,words_only,word_novel,13,0.115801,0.027137
default,12,words_only,word_novel,14,0.116565,0.026026
default,12,words_only,word_novel,15,0.117899,0.026295
attn_zeroed,12,mean_pooled,pair_novel,1,0.148883,0.007066
attn_zeroed,12,mean_pooled,pair_novel,2,0.243219,0.007337
attn_zeroed,12,mean_pooled,pair_novel,3,0.360356,0.006259
attn_zeroed,12,mean_pooled,pair_novel,4,0.459022,0.006347
attn_zeroed,12,mean_pooled,pair_novel,5,0.514505,0.005284
attn_zeroed,12,mean_pooled,pair_novel,6,0.553427,0.004995
attn_zeroed,12,mean_pooled,pair_novel,7,0.57893,0.005303
attn_zeroed,12,mean_pooled,pair_novel,8,0.605077,0.00534
attn_zeroed,12,mean_pooled,pair_novel,9,0.62579,0.005211
attn_zeroed,12,mean_pooled,pair_novel,10,0.635467,0.004993
attn_zeroed,12,mean_pooled,pair_novel,11,0.652081,0.00475
attn_zeroed,12,mean_pooled,pair_novel,12,0.664354,0.004487
attn_zeroed,12,mean_pooled,pair_novel,13,0.675303,0.004366
attn_zeroed,12,mean_pooled,pair_novel,14,0.680045,0.004534
attn_zeroed,12,mean_pooled,pair_novel,15,0.687585,0.004255
attn_zeroed,12,mean_pooled,word_novel,1,0.145067,0.039177
attn_zeroed,12,mean_pooled,word_novel,2,0.226041,0.035958
attn_zeroed,12,mean_pooled,word_novel,3,0.33578,0.055542
attn_zeroed,12,mean_pooled,word_novel,4,0.421103,0.054971
attn_zeroed,12,mean_pooled,word_novel,5,0.474752,0.047211
attn_zeroed,12,mean_pooled,word_novel,6,0.513318,0.046132
attn_zeroed,12,mean_pooled,word_novel,7,0.539491,0.043473
attn_zeroed,12,mean_pooled,word_novel,8,0.564029,0.042638
attn_zeroed,12,mean_pooled,word_novel,9,0.587205,0.037919
attn_zeroed,12,mean_pooled,word_novel,10,0.595811,0.039455
attn_zeroed,12,mean_pooled,word_novel,11,0.611354,0.036589
attn_zeroed,12,mean_pooled,word_novel,12,0.624642,0.039413
attn_zeroed,12,mean_pooled,word_novel,13,0.636863,0.038381
attn_zeroed,12,mean_pooled,word_novel,14,0.643741,0.039488
attn_zeroed,12,mean_pooled,word_novel,15,0.651462,0.036422
attn_zeroed,12,words_only,pair_novel,1,0.064423,0.004289
attn_zeroed,12,words_only,pair_novel,2,0.117726,0.005835
attn_zeroed,12,words_only,pair_novel,3,0.137993,0.007061
attn_zeroed,12,words_only,pair_novel,4,0.160611,0.007069
attn_zeroed,12,words_only,pair_novel,5,0.172743,0.007949
attn_zeroed,12,words_only,pair_novel,6,0.184708,0.007701
