condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,12,mean_pooled,pair_novel,2.4e-05,1.9e-05,10,6.2,12.2
default,12,mean_pooled,word_novel,0.000305,0.000314,10,5.5,11.5
default,12,words_only,pair_novel,2.4e-05,2.6e-05,10,3.1,9.1
default,12,words_only,word_novel,0.000455,0.000522,10,3.6,9.6
attn_zeroed,12,mean_pooled,pair_novel,5.1e-05,4.8e-05,10,10.2,16.2
attn_zeroed,12,mean_pooled,word_novel,0.000658,0.000516,10,10.2,16.2
attn_zeroed,12,words_only,pair_novel,2.7e-05,3.2e-05,10,3.3,9.3
attn_zeroed,12,words_only,word_novel,0.000313,0.000282,10,3.1,9.1
default,0,mean_pooled,pair_novel,2.9e-05,4e-05,10,9.2,15.2
default,0,mean_pooled,word_novel,0.000679,0.001159,10,9.5,15.5
default,0,words_only,pair_novel,2.6e-05,2.2e-05,10,2.6,8.6
default,0,words_only,word_novel,0.000272,0.000229,10,2.0,8.0
default,1,mean_pooled,pair_novel,2.4e-05,3e-05,10,7.2,13.2
default,1,mean_pooled,word_novel,0.000154,0.000267,10,9.1,15.1
default,1,words_only,pair_novel,1.9e-05,2.2e-05,10,2.8,8.8
default,1,words_only,word_novel,0.000593,0.000589,10,2.5,8.5
default,2,mean_pooled,pair_novel,1e-05,1.3e-05,10,8.0,14.0
default,2,mean_pooled,word_novel,0.000314,0.000461,10,7.4,13.4
default,2,words_only,pair_novel,4.3e-05,7.7e-05,10,2.8,8.8
default,2,words_only,word_novel,0.000349,0.000358,10,2.8,8.8
default,3,mean_pooled,pair_novel,5e-06,8e-06,10,9.3,15.3
default,3,mean_pooled,word_novel,0.000154,0.000131,10,8.6,14.6
default,3,words_only,pair_novel,2.1e-05,3.6e-05,10,5.2,11.2
default,3,words_only,word_novel,0.000298,0.000325,10,4.4,10.4
default,4,mean_pooled,pair_novel,3.1e-05,3.4e-05,10,9.9,15.9
default,4,mean_pooled,word_novel,0.000407,0.000865,10,10.3,16.3
default,4,words_only,pair_novel,2.6e-05,2.2e-05,10,6.0,12.0
default,4,words_only,word_novel,0.000193,0.000194,10,5.2,11.2
default,5,mean_pooled,pair_novel,3.2e-05,3.7e-05,10,12.9,18.9
default,5,mean_pooled,word_novel,0.000139,0.000135,10,13.5,19.5
default,5,words_only,pair_novel,2.7e-05,4.5e-05,10,5.7,11.7
default,5,words_only,word_novel,0.000362,0.000343,10,5.0,11.0
default,6,mean_pooled,pair_novel,3.7e-05,8.1e-05,10,11.4,17.4
default,6,mean_pooled,word_novel,0.000279,0.000246,10,10.9,16.9
default,6,words_only,pair_novel,1.6e-05,1.5e-05,10,7.3,13.3
default,6,words_only,word_novel,0.000263,0.000315,10,5.7,11.7
default,7,mean_pooled,pair_novel,1.3e-05,1.7e-05,10,10.9,16.9
default,7,mean_pooled,word_novel,0.000167,0.000271,10,9.4,15.4
default,7,words_only,pair_novel,2.3e-05,2.5e-05,10,5.6,11.6
default,7,words_only,word_novel,0.000185,0.000178,10,6.4,12.4
default,8,mean_pooled,pair_novel,3.3e-05,3.2e-05,10,10.1,16.1
default,8,mean_pooled,word_novel,0.000521,0.00051,10,9.7,15.7
default,8,words_only,pair_novel,1.6e-05,2e-05,10,7.4,13.4
default,8,words_only,word_novel,0.000179,0.00021,10,6.2,12.2
default,9,mean_pooled,pair_novel,3.4e-05,4.6e-05,10,9.4,15.4
default,9,mean_pooled,word_novel,0.000193,0.000219,10,8.8,14.8
default,9,words_only,pair_novel,7.4e-05,6.6e-05,10,6.0,12.0
default,9,words_only,word_novel,0.000311,0.000269,10,5.6,11.6
default,10,mean_pooled,pair_novel,6.5e-05,6.8e-05,10,8.7,14.7
default,10,mean_pooled,word_novel,5.7e-05,8.7e-05,10,8.2,14.2
default,10,words_only,pair_novel,1e-05,1.5e-05,10,6.6,12.6
default,10,words_only,word_novel,0.000362,0.000459,10,5.7,11.7
default,11,mean_pooled,pair_novel,2.1e-05,1.9e-05,10,8.5,14.5
default,11,mean_pooled,word_novel,0.000269,0.000501,10,6.5,12.5
default,11,words_only,pair_novel,4.8e-05,5.9e-05,10,5.4,11.4
default,11,words_only,word_novel,0.000289,0.000356,10,5.6,11.6
attn_zeroed,0,mean_pooled,pair_novel,1.4e-05,1.2e-05,10,9.2,15.2
attn_zeroed,0,mean_pooled,word_novel,0.00034,0.000504,10,9.9,15.9
attn_zeroed,0,words_only,pair_novel,2.9e-05,4.7e-05,10,2.6,8.6
attn_zeroed,0,words_only,word_novel,0.000414,0.000523,10,2.1,8.1
attn_zeroed,1,mean_pooled,pair_novel,2e-05,3.3e-05,10,10.6,16.6
attn_zeroed,1,mean_pooled,word_novel,0.000274,0.000267,10,9.5,15.5
attn_zeroed,1,words_only,pair_novel,1.5e-05,1.6e-05,10,2.6,8.6
attn_zeroed,1,words_only,word_novel,0.000317,0.000566,10,2.3,8.3
attn_zeroed,2,mean_pooled,pair_novel,1.3e-05,1.6e-05,10,10.7,16.7
attn_zeroed,2,mean_pooled,word_novel,0.000393,0.00049,10,11.1,17.1
attn_zeroed,2,words_only,pair_novel,5.1e-05,4.7e-05,10,2.7,8.7
attn_zeroed,2,words_only,word_novel,0.000229,0.000418,10,2.8,8.8
attn_zeroed,3,mean_pooled,pair_novel,2.2e-05,2.9e-05,10,19.3,25.3
attn_zeroed,3,mean_pooled,word_novel,0.000113,0.000192,10,16.6,22.6
attn_zeroed,3,words_only,pair_novel,1.6e-05,2.2e-05,10,4.6,10.6
attn_zeroed,3,words_only,word_novel,0.000125,0.000145,10,5.1,11.1
attn_zeroed,4,mean_pooled,pair_novel,4.3e-05,6.1e-05,10,14.5,20.5
attn_zeroed,4,mean_pooled,word_novel,0.000401,0.000752,10,9.6,15.6
attn_zeroed,4,words_only,pair_novel,1.7e-05,1.3e-05,10,6.0,12.0
