model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
EleutherAI_pythia-160m,attn_zeroed,48950,0.27620061121501677,0.06990754952858409,0.018783320380349966,0.003978295930964566,0.03358834482973537,0.007836962129508157,-0.009509035512930222,0.025182959771946536
EleutherAI_pythia-160m,default,48950,0.3152272388329347,0.09375199086688346,0.03791698428679234,0.022284845067572834,0.05354912350601185,0.051160633940544806,0.0325905336221287,0.06973073425896091
EleutherAI_pythia-160m_step1000,attn_zeroed,48950,0.39402694961487245,0.10060000163962063,0.0157330365472369,0.001532777639443074,0.029933295455030727,-0.014355392864116773,-0.03320384898513547,0.004493063256901918
EleutherAI_pythia-160m_step1000,default,48950,0.41551633413139233,0.09039896055406797,0.039083555514965757,0.024507219729681486,0.05365989130025003,0.002835223254575664,-0.01711275509395019,0.02278320160310152
EleutherAI_pythia-160m_step16,attn_zeroed,48950,0.3055565038227736,0.04478995315493637,0.001761509805014605,-0.015517821267655375,0.019040840877684585,-0.03915992242214117,-0.06176851804870841,-0.016551326795573928
EleutherAI_pythia-160m_step16,default,48950,0.2718370625014726,0.044622937275406706,-0.0036175223134692625,-0.02140020706902516,0.014165162442086637,-0.03938109762926004,-0.062005117393796,-0.016757077864724072
EleutherAI_pythia-160m_step256,attn_zeroed,48950,0.4277050109974873,0.06217544093332193,0.009423678399899344,-0.0023484739413080977,0.021195830741106786,-0.018380779205847898,-0.03586016344785484,-0.0009013949638409582
EleutherAI_pythia-160m_step256,default,48950,0.47283565412585227,0.061716670494791,0.005262719240676426,-0.005727572029887303,0.016253010511240153,-0.017644600576041607,-0.03497090835504969,-0.00031829279703351684
EleutherAI_pythia-160m_step32,attn_zeroed,48950,0.3567412361126662,0.04015500791823102,-0.0014743726943589955,-0.0175930320853453,0.014644286696627307,-0.03918481813631755,-0.06148951958713978,-0.01688011668549532
EleutherAI_pythia-160m_step32,default,48950,0.3144089897830118,0.040075865897764115,0.002403883618178889,-0.014558167718051178,0.019365934954408956,-0.03875626093037479,-0.06106342623032848,-0.0164490956304211
EleutherAI_pythia-160m_step512,attn_zeroed,48950,0.4350969780621456,0.08283069741663208,0.014902578757822284,0.0026442900473639362,0.02716086746828063,-0.01827284402934471,-0.03620598880623947,-0.00033969925244995217
EleutherAI_pythia-160m_step512,default,48950,0.4631380744425626,0.09314774036339853,0.013504010096295024,0.0012145617708584824,0.025793458421731565,-0.01120877983227797,-0.02935812651755966,0.0069405668530037185
EleutherAI_pythia-160m_step64,attn_zeroed,48950,0.33311682645295426,0.05244534381236796,-0.010325367499461238,-0.025854458146580765,0.005203723147658289,-0.03228518471238365,-0.05306671010121962,-0.011503659323547674
EleutherAI_pythia-160m_step64,default,48950,0.3044183355722476,0.05232300805824675,-0.0032456115864890507,-0.019421761853019928,0.012930538680041827,-0.03203598718052564,-0.05280964612185237,-0.011262328239198906
EleutherAI_pythia-1b,attn_zeroed,48950,0.34885507307442604,0.07091350595114701,0.013198835188554386,-0.0023985532460385293,0.0287962236231473,0.014300552664204186,-0.004778098038624747,0.03337920336703312
EleutherAI_pythia-1b,default,48950,0.4151467963472684,0.1259980529061282,0.04201322975526143,0.02616006399070297,0.05786639551981989,0.06587875725458314,0.04573861908879444,0.08601889542037185
EleutherAI_pythia-1b_step1000,attn_zeroed,48950,0.4485506527067041,0.10377427360999923,0.013619015507426016,0.001077449610558676,0.026160581404293358,-0.009204396952678093,-0.026731090009017616,0.00832229610366143
EleutherAI_pythia-1b_step1000,default,48950,0.4703801168511523,0.11190436341929937,0.043942475814170184,0.030776508097578474,0.057108443530761895,0.01249385060396846,-0.006206323772396969,0.031194024980333888
EleutherAI_pythia-1b_step16,attn_zeroed,48950,0.4772752285674351,0.04164989246928639,-0.00301804076281105,-0.017506779232420173,0.011470697706798072,-0.04610537285038076,-0.06870746390076006,-0.023503281800001455
EleutherAI_pythia-1b_step16,default,48950,0.3683684984697181,0.0417949057893778,-0.009255922868051644,-0.025419565353658788,0.0069077196175554995,-0.04584523682015111,-0.06843985095036981,-0.023250622689932415
EleutherAI_pythia-1b_step256,attn_zeroed,48950,0.5350571741485244,0.06147991471577717,0.007525034625372492,-0.0041310982316035425,0.019181167482348528,-0.027628787854616026,-0.047225296157084484,-0.008032279552147567
EleutherAI_pythia-1b_step256,default,48950,0.6068125012555603,0.06448009074687673,0.006641204524354877,-0.0038208604677232236,0.017103269516432977,-0.025582062118231087,-0.04512840638842464,-0.006035717848037532
EleutherAI_pythia-1b_step32,attn_zeroed,48950,0.49663591770212506,0.04115945565655847,-0.008351832910844834,-0.022274236785222383,0.005570570963532716,-0.045934795641955246,-0.06813119813965879,-0.023738393144251704
EleutherAI_pythia-1b_step32,default,48950,0.38488254153963947,0.04118459928528972,-0.010880435952648308,-0.026488029443628942,0.0047271575383323276,-0.04552083736544891,-0.06769262074615254,-0.023349053984745287
EleutherAI_pythia-1b_step512,attn_zeroed,48950,0.4307707756908582,0.09053511548676997,0.018210686135543018,0.0068172598120758675,0.02960411245901017,-0.01658571048614086,-0.032789105514447005,-0.0003823154578347157
EleutherAI_pythia-1b_step512,default,48950,0.4748196493126499,0.09545522026239757,0.02028689372701422,0.008951304855713035,0.031622482598315405,-0.014499506574518532,-0.031131503826022505,0.0021324906769854407
EleutherAI_pythia-1b_step64,attn_zeroed,48950,0.3916487743926108,0.05822723735858318,0.0014656695725494204,-0.013431646806774852,0.016362985951873694,-0.039455554515076686,-0.060049488098254444,-0.018861620931898932
EleutherAI_pythia-1b_step64,default,48950,0.3813436838098049,0.057696763434130986,-0.0023960587372367052,-0.01731008646613074,0.01251796899165733,-0.03875089767676284,-0.05924898380803671,-0.01825281154548897
EleutherAI_pythia-2.8b,attn_zeroed,48950,0.36934518718415327,0.06867164738438113,0.01980429774249841,0.004487784050155909,0.03512081143484091,0.0207528480597807,0.0015916819624274443,0.039914014157133956
EleutherAI_pythia-2.8b,default,48950,0.44592586049703237,0.12618214380207535,0.019030416352176414,0.0032081603370598226,0.034852672367293,0.07519053320844682,0.05446501865348319,0.09591604776341045
EleutherAI_pythia-2.8b_step1000,attn_zeroed,48950,0.36746906904488513,0.06867738188868537,0.020660399500550708,0.005303212796947711,0.036017586204153705,0.02051560245765216,0.0013540214548652361,0.03967718346043908
EleutherAI_pythia-2.8b_step1000,default,48950,0.44433424644557484,0.12610080267915358,0.017642923227435194,0.0018169555091231242,0.03346889094574726,0.07503948700476144,0.05431275788304295,0.09576621612647994
EleutherAI_pythia-2.8b_step16,attn_zeroed,48950,0.36746906904488513,0.06867738188868537,0.020660399500550708,0.005303212796947711,0.036017586204153705,0.02051560245765216,0.0013540214548652361,0.03967718346043908
EleutherAI_pythia-2.8b_step16,default,48950,0.44433424644557484,0.12610080267915358,0.017642923227435194,0.0018169555091231242,0.03346889094574726,0.07503948700476144,0.05431275788304295,0.09576621612647994
EleutherAI_pythia-2.8b_step256,attn_zeroed,48950,0.36746906904488513,0.06867738188868537,0.020660399500550708,0.005303212796947711,0.036017586204153705,0.02051560245765216,0.0013540214548652361,0.03967718346043908
EleutherAI_pythia-2.8b_step256,default,48950,0.44433424644557484,0.12610080267915358,0.017642923227435194,0.0018169555091231242,0.03346889094574726,0.07503948700476144,0.05431275788304295,0.09576621612647994
