model,step,gradient,ci_lo,ci_hi
EleutherAI_pythia-160m,16,0.024917471636243,-0.0920321359157904,0.13915413977801944
EleutherAI_pythia-160m,32,0.008328270658899045,-0.11339121054375007,0.1252001175484954
EleutherAI_pythia-160m,64,-0.012893621752309042,-0.1389671789561792,0.10516663650081015
EleutherAI_pythia-160m,256,-0.0005025546562031913,-0.11250690789194286,0.10777516895267882
EleutherAI_pythia-160m,512,0.04298781017804443,-0.05577930660312362,0.13624636206409074
EleutherAI_pythia-160m,1000,0.1750396879501146,0.0974309945163194,0.24725945392114154
EleutherAI_pythia-160m,1000000000,-0.010941946863096463,-0.02262723094069196,-0.0007376610512693118
EleutherAI_pythia-410m,16,0.021652213203676968,-0.07745707466928416,0.11642136772394814
EleutherAI_pythia-410m,32,0.010382133072210697,-0.0864891690768076,0.1056649971440001
EleutherAI_pythia-410m,64,0.008689734914001213,-0.09012634128598426,0.10251452104432485
EleutherAI_pythia-410m,256,0.0501116606914154,-0.05512642804042122,0.14744412375829838
EleutherAI_pythia-410m,512,0.14221667223656873,0.04629643165069439,0.23388842500780407
EleutherAI_pythia-410m,1000,0.1727851776491976,0.09293336405772207,0.25133106679646006
EleutherAI_pythia-410m,1000000000,-0.01555298833538521,-0.027933158599013186,-0.00474049638935602
EleutherAI_pythia-1b,16,0.06578950679084272,-0.026764243920642784,0.1557581905065028
EleutherAI_pythia-1b,32,0.07887002093026435,-0.010174531083527819,0.17073104044848308
EleutherAI_pythia-1b,64,0.08562931714213921,-0.0036368114366906986,0.1779435629818715
EleutherAI_pythia-1b,256,0.0602385458344325,-0.04651083208612442,0.16166966911543132
EleutherAI_pythia-1b,512,0.17701278063993084,0.08891498492395847,0.26500960837050325
EleutherAI_pythia-1b,1000,0.24397216535318084,0.16880468910564175,0.3131472223091924
EleutherAI_pythia-1b,1000000000,-0.01456974066704908,-0.027997483668479338,-0.0028620889910060026
znhoughton_opt-babylm-125m-20eps-seed964,24,0.08206778463597193,-0.03950709413382971,0.21307755612820325
znhoughton_opt-babylm-125m-20eps-seed964,48,0.08581309523907274,-0.02674493333786601,0.2143495061726179
znhoughton_opt-babylm-125m-20eps-seed964,144,0.08660392167303316,-0.018338601586655495,0.1944788619213669
znhoughton_opt-babylm-125m-20eps-seed964,384,0.13088756662416248,0.02794311006029014,0.23365331915074936
znhoughton_opt-babylm-125m-20eps-seed964,912,0.17180077293482093,0.09551848459943063,0.251094549004125
znhoughton_opt-babylm-125m-20eps-seed964,2280,0.06458658310938492,0.043905477236509206,0.08285046222486077
znhoughton_opt-babylm-125m-20eps-seed964,1000000000,0.032319026758427905,0.020549987151832493,0.04297391229946364
znhoughton_opt-babylm-350m-20eps-seed964,48,0.06865552793273938,-0.07049391454915435,0.21824515851179235
znhoughton_opt-babylm-350m-20eps-seed964,96,0.07761216479889335,-0.060557865997308384,0.2376410053423642
znhoughton_opt-babylm-350m-20eps-seed964,288,0.08075565107715983,-0.037663721379436195,0.19760444450544745
znhoughton_opt-babylm-350m-20eps-seed964,768,0.15587337225357664,0.041639994973786766,0.2646379271165589
znhoughton_opt-babylm-350m-20eps-seed964,1824,0.13869289965675397,0.050118229208234485,0.21635168958801995
znhoughton_opt-babylm-350m-20eps-seed964,4560,0.0538486130806064,0.030269793839061164,0.07350361102196828
znhoughton_opt-babylm-350m-20eps-seed964,1000000000,0.024790403703565667,0.012350117420783471,0.03558531275163156
znhoughton_opt-babylm-1_3b-20eps-seed964,97,0.024392870391879637,-0.10208406667204262,0.15751499649855719
znhoughton_opt-babylm-1_3b-20eps-seed964,194,0.06644010141753742,-0.05962537662367039,0.1878142949598439
znhoughton_opt-babylm-1_3b-20eps-seed964,582,0.06608798432582841,-0.05058173778998234,0.17968364753172686
znhoughton_opt-babylm-1_3b-20eps-seed964,1455,0.12010280670692572,0.018703104216238425,0.2095555538229364
znhoughton_opt-babylm-1_3b-20eps-seed964,3686,0.23516110055834982,0.17613689649072434,0.2875783575886668
znhoughton_opt-babylm-1_3b-20eps-seed964,9021,0.18927063435119307,0.15539558373828802,0.21829014539838246
znhoughton_opt-babylm-1_3b-20eps-seed964,1000000000,0.0226948362654944,0.012543135488546686,0.03084005403882094
