condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,1.7e-05,2.4e-05,10,17.6,23.6
default,0,mean_pooled,word_novel,0.000366,0.000291,10,29.1,35.1
default,0,words_only,pair_novel,2.8e-05,2.1e-05,10,14.7,20.7
default,0,words_only,word_novel,0.000181,0.000124,10,19.9,25.9
default,1,mean_pooled,pair_novel,4.4e-05,5.6e-05,10,20.7,26.7
default,1,mean_pooled,word_novel,0.000367,0.00045,10,25.0,31.0
default,1,words_only,pair_novel,9e-06,8e-06,10,19.2,25.2
default,1,words_only,word_novel,0.000143,0.000163,10,22.2,28.2
default,2,mean_pooled,pair_novel,1.8e-05,2.6e-05,10,22.9,28.9
default,2,mean_pooled,word_novel,0.000774,0.00124,10,29.2,35.2
default,2,words_only,pair_novel,3.4e-05,2.8e-05,10,22.9,28.9
default,2,words_only,word_novel,0.000482,0.000742,10,26.2,32.2
default,3,mean_pooled,pair_novel,4.1e-05,5e-05,10,24.5,30.5
default,3,mean_pooled,word_novel,0.000167,0.000249,10,29.4,35.4
default,3,words_only,pair_novel,2.8e-05,2.9e-05,10,18.1,24.1
default,3,words_only,word_novel,0.000267,0.000417,10,25.8,31.8
default,4,mean_pooled,pair_novel,6.4e-05,6.9e-05,10,26.5,32.5
default,4,mean_pooled,word_novel,0.000243,0.000264,10,32.3,38.3
default,4,words_only,pair_novel,2.3e-05,3.2e-05,10,18.9,24.9
default,4,words_only,word_novel,0.000382,0.000393,10,25.2,31.2
default,5,mean_pooled,pair_novel,1.8e-05,1.7e-05,10,24.8,30.8
default,5,mean_pooled,word_novel,0.000705,0.000885,10,32.0,38.0
default,5,words_only,pair_novel,2.2e-05,3.5e-05,10,23.4,29.4
default,5,words_only,word_novel,0.000295,0.000371,10,25.2,31.2
default,6,mean_pooled,pair_novel,3.3e-05,4.6e-05,10,23.2,29.2
default,6,mean_pooled,word_novel,0.000675,0.000972,10,29.6,35.6
default,6,words_only,pair_novel,4.1e-05,4.3e-05,10,19.5,25.5
default,6,words_only,word_novel,0.000328,0.000387,10,25.3,31.3
default,7,mean_pooled,pair_novel,4.2e-05,2.8e-05,10,26.4,32.4
default,7,mean_pooled,word_novel,0.000208,0.000247,10,31.2,37.2
default,7,words_only,pair_novel,1.8e-05,2.6e-05,10,23.2,29.2
default,7,words_only,word_novel,0.000166,0.000178,10,25.6,31.6
default,8,mean_pooled,pair_novel,7e-06,1.2e-05,10,22.7,28.7
default,8,mean_pooled,word_novel,0.00018,0.000212,10,26.8,32.8
default,8,words_only,pair_novel,2.6e-05,2.9e-05,10,22.2,28.2
default,8,words_only,word_novel,0.000382,0.000551,10,27.1,33.1
default,9,mean_pooled,pair_novel,1.8e-05,3e-05,10,19.9,25.9
default,9,mean_pooled,word_novel,0.000294,0.000364,10,27.9,33.9
default,9,words_only,pair_novel,1.4e-05,1.3e-05,10,21.3,27.3
default,9,words_only,word_novel,0.000462,0.000462,10,24.9,30.9
default,10,mean_pooled,pair_novel,3.2e-05,4e-05,10,24.2,30.2
default,10,mean_pooled,word_novel,0.000424,0.000439,10,30.4,36.4
default,10,words_only,pair_novel,2.7e-05,2.3e-05,10,21.2,27.2
default,10,words_only,word_novel,0.000262,0.000439,10,26.8,32.8
default,11,mean_pooled,pair_novel,3.7e-05,7.1e-05,10,23.6,29.6
default,11,mean_pooled,word_novel,0.000298,0.000308,10,27.4,33.4
default,11,words_only,pair_novel,2.4e-05,1.9e-05,10,21.4,27.4
default,11,words_only,word_novel,0.000355,0.000419,10,24.8,30.8
default,12,mean_pooled,pair_novel,2.5e-05,3.1e-05,10,27.7,33.7
default,12,mean_pooled,word_novel,0.000208,0.000217,10,28.2,34.2
default,12,words_only,pair_novel,4.1e-05,4.3e-05,10,20.4,26.4
default,12,words_only,word_novel,0.000399,0.000516,10,23.7,29.7
default,13,mean_pooled,pair_novel,1e-05,1.1e-05,10,23.9,29.9
default,13,mean_pooled,word_novel,0.000592,0.00053,10,33.5,39.5
default,13,words_only,pair_novel,2.7e-05,2.2e-05,10,17.3,23.3
default,13,words_only,word_novel,0.000438,0.000526,10,26.6,32.6
default,14,mean_pooled,pair_novel,1.6e-05,1.5e-05,10,21.6,27.6
default,14,mean_pooled,word_novel,0.000122,0.000151,10,30.0,36.0
default,14,words_only,pair_novel,2e-05,2e-05,10,17.5,23.5
default,14,words_only,word_novel,0.000287,0.000317,10,22.6,28.6
default,15,mean_pooled,pair_novel,3.1e-05,3.9e-05,10,22.3,28.3
default,15,mean_pooled,word_novel,0.000144,9.6e-05,10,26.0,32.0
default,15,words_only,pair_novel,4.1e-05,5.8e-05,10,19.6,25.6
default,15,words_only,word_novel,0.000299,0.000188,10,25.9,31.9
default,16,mean_pooled,pair_novel,1.8e-05,3e-05,10,26.2,32.2
default,16,mean_pooled,word_novel,0.000289,0.000309,10,27.1,33.1
default,16,words_only,pair_novel,2.9e-05,3.3e-05,10,23.7,29.7
default,16,words_only,word_novel,0.000256,0.000243,10,26.3,32.3
default,17,mean_pooled,pair_novel,1.4e-05,2.6e-05,10,21.0,27.0
default,17,mean_pooled,word_novel,0.00026,0.000236,10,27.4,33.4
default,17,words_only,pair_novel,4.1e-05,7.9e-05,10,20.6,26.6
default,17,words_only,word_novel,0.000324,0.000333,10,24.2,30.2
default,18,mean_pooled,pair_novel,2.7e-05,3.5e-05,10,24.0,30.0
default,18,mean_pooled,word_novel,0.000566,0.000579,10,26.2,32.2
default,18,words_only,pair_novel,2.4e-05,3.3e-05,10,21.5,27.5
default,18,words_only,word_novel,0.000339,0.000424,10,26.2,32.2
default,19,mean_pooled,pair_novel,3.3e-05,3.4e-05,10,22.5,28.5
default,19,mean_pooled,word_novel,0.000344,0.000378,10,29.0,35.0
default,19,words_only,pair_novel,5.8e-05,4.6e-05,10,21.5,27.5
default,19,words_only,word_novel,0.000239,0.000331,10,28.3,34.3
default,20,mean_pooled,pair_novel,1.1e-05,1.4e-05,10,24.7,30.7
default,20,mean_pooled,word_novel,0.000198,0.000175,10,29.4,35.4
default,20,words_only,pair_novel,3.6e-05,1.8e-05,10,18.1,24.1
default,20,words_only,word_novel,0.000164,0.000192,10,24.9,30.9
default,21,mean_pooled,pair_novel,2.5e-05,2.9e-05,10,24.5,30.5
default,21,mean_pooled,word_novel,0.0004,0.000465,10,23.3,29.3
default,21,words_only,pair_novel,1.8e-05,2e-05,10,26.8,32.8
default,21,words_only,word_novel,0.000391,0.000476,10,28.6,34.6
default,22,mean_pooled,pair_novel,5.9e-05,8.2e-05,10,24.3,30.3
default,22,mean_pooled,word_novel,0.00028,0.000445,10,27.8,33.8
default,22,words_only,pair_novel,2.2e-05,2.4e-05,10,18.3,24.3
default,22,words_only,word_novel,9.3e-05,0.000128,10,24.3,30.3
default,23,mean_pooled,pair_novel,2.8e-05,3.3e-05,10,23.7,29.7
default,23,mean_pooled,word_novel,0.000205,0.000258,10,27.7,33.7
default,23,words_only,pair_novel,1.1e-05,1.6e-05,10,22.2,28.2
default,23,words_only,word_novel,0.000282,0.000466,10,28.0,34.0
default,24,mean_pooled,pair_novel,1.9e-05,1.8e-05,10,22.3,28.3
default,24,mean_pooled,word_novel,0.000396,0.000429,10,28.7,34.7
default,24,words_only,pair_novel,4.8e-05,4.5e-05,10,23.7,29.7
default,24,words_only,word_novel,0.000164,0.000198,10,27.0,33.0
attn_zeroed,0,mean_pooled,pair_novel,2.1e-05,3.2e-05,10,18.2,24.2
attn_zeroed,0,mean_pooled,word_novel,0.000384,0.000375,10,26.2,32.2
attn_zeroed,0,words_only,pair_novel,2.7e-05,3.6e-05,10,14.5,20.5
attn_zeroed,0,words_only,word_novel,0.000223,0.000189,10,18.9,24.9
attn_zeroed,1,mean_pooled,pair_novel,4.5e-05,4.4e-05,10,22.6,28.6
attn_zeroed,1,mean_pooled,word_novel,0.000147,0.000173,10,30.7,36.7
attn_zeroed,1,words_only,pair_novel,1.1e-05,1.1e-05,10,18.0,24.0
attn_zeroed,1,words_only,word_novel,9e-05,0.0001,10,21.8,27.8
attn_zeroed,2,mean_pooled,pair_novel,2.1e-05,1.6e-05,10,27.2,33.2
attn_zeroed,2,mean_pooled,word_novel,0.000593,0.00055,10,27.7,33.7
attn_zeroed,2,words_only,pair_novel,3.2e-05,2.3e-05,10,20.9,26.9
attn_zeroed,2,words_only,word_novel,0.000576,0.000679,10,25.8,31.8
attn_zeroed,3,mean_pooled,pair_novel,1.8e-05,1.9e-05,10,23.9,29.9
attn_zeroed,3,mean_pooled,word_novel,0.000105,0.000143,10,30.5,36.5
attn_zeroed,3,words_only,pair_novel,2.4e-05,2.3e-05,10,19.0,25.0
attn_zeroed,3,words_only,word_novel,0.000156,0.000186,10,25.7,31.7
attn_zeroed,4,mean_pooled,pair_novel,9.5e-05,0.000174,10,25.0,31.0
attn_zeroed,4,mean_pooled,word_novel,0.000172,0.000202,10,35.1,41.1
attn_zeroed,4,words_only,pair_novel,3e-05,3.3e-05,10,17.9,23.9
attn_zeroed,4,words_only,word_novel,0.000277,0.000355,10,23.7,29.7
attn_zeroed,5,mean_pooled,pair_novel,2.7e-05,2.8e-05,10,25.2,31.2
attn_zeroed,5,mean_pooled,word_novel,0.000245,0.000326,10,40.7,46.7
attn_zeroed,5,words_only,pair_novel,2.7e-05,2.9e-05,10,21.4,27.4
attn_zeroed,5,words_only,word_novel,0.000355,0.000466,10,26.9,32.9
attn_zeroed,6,mean_pooled,pair_novel,2.9e-05,3e-05,10,30.9,36.9
attn_zeroed,6,mean_pooled,word_novel,0.000689,0.000688,10,36.0,42.0
attn_zeroed,6,words_only,pair_novel,5.2e-05,5.4e-05,10,19.9,25.9
attn_zeroed,6,words_only,word_novel,0.000271,0.000361,10,23.7,29.7
attn_zeroed,7,mean_pooled,pair_novel,2.4e-05,3.1e-05,10,28.7,34.7
attn_zeroed,7,mean_pooled,word_novel,9.2e-05,0.000125,10,34.3,40.3
attn_zeroed,7,words_only,pair_novel,1.9e-05,2.4e-05,10,21.5,27.5
attn_zeroed,7,words_only,word_novel,0.000116,0.000131,10,28.1,34.1
attn_zeroed,8,mean_pooled,pair_novel,3.7e-05,3.6e-05,10,31.1,37.1
attn_zeroed,8,mean_pooled,word_novel,0.000176,0.00017,10,34.8,40.8
attn_zeroed,8,words_only,pair_novel,2.4e-05,2.9e-05,10,19.0,25.0
attn_zeroed,8,words_only,word_novel,0.000403,0.0005,10,25.6,31.6
attn_zeroed,9,mean_pooled,pair_novel,1.1e-05,1.5e-05,10,29.9,35.9
attn_zeroed,9,mean_pooled,word_novel,0.000189,0.000195,10,33.9,39.9
attn_zeroed,9,words_only,pair_novel,1.1e-05,1.3e-05,10,20.0,26.0
attn_zeroed,9,words_only,word_novel,0.00036,0.000305,10,22.0,28.0
attn_zeroed,10,mean_pooled,pair_novel,2.8e-05,3.5e-05,10,34.7,40.7
attn_zeroed,10,mean_pooled,word_novel,0.000207,0.000154,10,40.7,46.7
attn_zeroed,10,words_only,pair_novel,1.4e-05,1e-05,10,19.3,25.3
attn_zeroed,10,words_only,word_novel,0.000231,0.000418,10,24.5,30.5
attn_zeroed,11,mean_pooled,pair_novel,2.1e-05,3.1e-05,10,28.3,34.3
attn_zeroed,11,mean_pooled,word_novel,0.000494,0.000497,10,36.6,42.6
attn_zeroed,11,words_only,pair_novel,4.5e-05,5.9e-05,10,20.7,26.7
attn_zeroed,11,words_only,word_novel,0.000501,0.000686,10,22.9,28.9
attn_zeroed,12,mean_pooled,pair_novel,1.5e-05,1.6e-05,10,33.6,39.6
