condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,0.208547,0.013977,10,141.5,147.5
default,0,mean_pooled,word_novel,0.075558,0.020126,10,237.7,243.7
default,0,words_only,pair_novel,0.269677,0.009096,10,146.3,152.3
default,0,words_only,word_novel,0.133455,0.021868,10,217.0,223.0
default,1,mean_pooled,pair_novel,0.264589,0.011142,10,122.7,128.7
default,1,mean_pooled,word_novel,0.141338,0.018908,10,131.2,137.2
default,1,words_only,pair_novel,0.260019,0.006569,10,105.0,111.0
default,1,words_only,word_novel,0.136855,0.018735,10,206.9,212.9
default,2,mean_pooled,pair_novel,0.261142,0.013481,10,119.0,125.0
default,2,mean_pooled,word_novel,0.144563,0.020586,10,160.5,166.5
default,2,words_only,pair_novel,0.257218,0.012666,10,108.2,114.2
default,2,words_only,word_novel,0.138214,0.019219,10,208.9,214.9
default,3,mean_pooled,pair_novel,0.264343,0.020789,10,122.2,128.2
default,3,mean_pooled,word_novel,0.152248,0.020065,10,151.2,157.2
default,3,words_only,pair_novel,0.250381,0.016106,10,95.3,101.3
default,3,words_only,word_novel,0.144534,0.016101,10,197.7,203.7
default,4,mean_pooled,pair_novel,0.274914,0.021975,10,140.4,146.4
default,4,mean_pooled,word_novel,0.165829,0.022448,10,156.0,162.0
default,4,words_only,pair_novel,0.259695,0.01687,10,113.3,119.3
default,4,words_only,word_novel,0.147148,0.017366,10,196.6,202.6
default,5,mean_pooled,pair_novel,0.286541,0.018348,10,143.7,149.7
default,5,mean_pooled,word_novel,0.177443,0.021628,10,151.9,157.9
default,5,words_only,pair_novel,0.274121,0.01486,10,124.2,130.2
default,5,words_only,word_novel,0.154692,0.017013,10,186.9,192.9
default,6,mean_pooled,pair_novel,0.29794,0.016595,10,119.8,125.8
default,6,mean_pooled,word_novel,0.196189,0.019994,10,156.1,162.1
default,6,words_only,pair_novel,0.285363,0.017795,10,120.3,126.3
default,6,words_only,word_novel,0.172228,0.017324,10,191.0,197.0
