fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.04706,0.002215,-9e-06,0.0,-0.000291,21
1,306037,34005,0.046369,0.00215,-0.001361,2e-06,-0.001495,21
2,306038,34004,0.052807,0.002789,-0.007874,6.2e-05,-0.004785,21
3,306038,34004,0.048259,0.002329,0.003874,1.5e-05,0.002918,21
4,306038,34004,0.046711,0.002182,-0.001992,4e-06,-0.00316,21
5,306038,34004,0.070026,0.004904,-0.004605,2.1e-05,-0.006151,22
6,306038,34004,0.05222,0.002727,0.004762,2.3e-05,0.002367,21
7,306038,34004,0.072511,0.005258,-0.010574,0.000112,-0.014535,22
8,306038,34004,0.068593,0.004705,0.003018,9e-06,-0.000687,22
9,306038,34004,0.04877,0.002378,-0.003217,1e-05,-0.001873,21
