fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.048601,0.002362,-0.002375,6e-06,0.000576,21
1,271560,3838,0.071787,0.005153,0.009456,8.9e-05,0.004605,22
2,273072,3787,0.051169,0.002618,0.049059,0.002407,0.02203,21
3,277277,3203,0.050645,0.002565,-0.035672,0.001273,-0.038963,21
4,273362,3746,0.051724,0.002675,-0.036791,0.001354,-0.046251,21
5,275538,3408,0.052296,0.002735,-0.002312,5e-06,-0.002043,21
6,272895,3839,0.053276,0.002838,0.009114,8.3e-05,0.002008,21
7,278245,3162,0.049623,0.002462,0.010755,0.000116,0.008478,21
8,276139,3294,0.052016,0.002706,-0.009973,9.9e-05,0.004124,21
9,277479,3174,0.051106,0.002612,0.012375,0.000153,0.002251,21
