fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.541767,0.293511,0.480093,0.230489,0.409874,41
1,306037,34005,0.539955,0.291551,0.487066,0.237233,0.409619,44
2,306038,34004,0.558085,0.311459,0.479349,0.229776,0.400211,68
3,306038,34004,0.55405,0.306971,0.481652,0.231988,0.40959,56
4,306038,34004,0.576862,0.33277,0.47548,0.226081,0.402682,116
5,306038,34004,0.539897,0.291489,0.475566,0.226163,0.405109,43
6,306038,34004,0.54312,0.294979,0.480279,0.230668,0.407199,44
7,306038,34004,0.556283,0.309451,0.47943,0.229853,0.402284,58
8,306038,34004,0.545375,0.297434,0.481944,0.23227,0.411345,51
9,306038,34004,0.552511,0.305269,0.479543,0.229962,0.402116,53
