fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho
0,276097,3346,0.590381,0.34855,0.367136,0.134789,0.337482
1,274736,3540,0.590341,0.348503,0.299687,0.089812,0.259802
2,274364,3622,0.590081,0.348195,0.335013,0.112234,0.295766
3,276327,3357,0.590136,0.348261,0.389991,0.152093,0.345806
4,270348,4056,0.584033,0.341095,0.35884,0.128766,0.324433
5,279295,2991,0.593998,0.352833,0.298117,0.088874,0.270096
6,278054,3168,0.588232,0.346017,0.355343,0.126269,0.3176
7,271738,3799,0.592825,0.351442,0.350796,0.123058,0.319823
8,276418,3335,0.593684,0.352461,0.2933,0.086025,0.266014
9,277417,3244,0.59247,0.351021,0.319884,0.102326,0.293654
