fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.0431,0.001858,-0.001374,2e-06,-0.001701,0.49878,21
1,306037,34005,0.043087,0.001857,-0.001641,3e-06,-0.00121,0.499603,21
2,306038,34004,0.042613,0.001816,-0.002864,8e-06,-0.000866,0.504294,21
3,306038,34004,0.044625,0.001991,0.002512,6e-06,-0.002158,0.497559,21
4,306038,34004,0.056329,0.003173,-0.001631,3e-06,-0.001202,0.499588,22
5,306038,34004,0.063773,0.004067,-0.004517,2e-05,-0.00381,0.500353,22
6,306038,34004,0.063822,0.004073,0.012545,0.000157,0.008854,0.500206,22
7,306038,34004,0.046406,0.002154,-0.006984,4.9e-05,-0.007765,0.499059,21
8,306038,34004,0.043808,0.001919,0.008434,7.1e-05,0.008277,0.504205,21
9,306038,34004,0.059319,0.003519,-0.00232,5e-06,-0.000167,0.504647,22
