fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.525046,0.275673,0.286679,0.082185,0.264393,0.60013,73
1,271560,3838,0.517274,0.267572,0.248363,0.061684,0.238066,0.580511,65
2,273072,3787,0.530531,0.281463,0.294768,0.086888,0.276006,0.584368,203
3,277277,3203,0.531949,0.28297,0.260283,0.067747,0.246168,0.58414,91
4,273362,3746,0.536806,0.288161,0.226004,0.051078,0.211694,0.566471,95
5,275538,3408,0.534403,0.285586,0.279112,0.077904,0.250977,0.588908,97
6,272895,3839,0.531886,0.282903,0.272841,0.074442,0.254876,0.588955,92
7,278245,3162,0.540794,0.292458,0.24788,0.061445,0.236778,0.580329,117
8,276139,3294,0.525479,0.276128,0.232365,0.053993,0.224037,0.574985,74
9,277479,3174,0.533144,0.284242,0.262354,0.06883,0.249394,0.581285,91
