fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.064106,0.00411,-0.123199,0.015178,-0.133723,0.454361,22
1,40129,499,0.07249,0.005255,0.009527,9.1e-05,-0.00555,0.48497,22
2,39267,606,0.088652,0.007859,0.019528,0.000381,0.003008,0.5033,23
3,39663,515,0.089292,0.007973,-0.059997,0.0036,-0.04158,0.497087,23
4,39495,529,0.032895,0.001082,0.078237,0.006121,0.059625,0.504726,21
5,39622,526,0.092432,0.008544,-0.065944,0.004349,-0.058738,0.479087,23
6,38849,632,0.036875,0.00136,0.003742,1.4e-05,-0.002688,0.495253,21
7,39802,470,0.028963,0.000839,-0.051166,0.002618,-0.033554,0.478723,21
8,39986,528,0.028729,0.000825,-0.074948,0.005617,-0.079211,0.452652,21
9,39933,514,0.058026,0.003367,0.059317,0.003518,0.014182,0.492218,22
