fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.080187,0.00643,-0.011935,0.000142,-0.023577,0.503043,21
1,40129,499,0.091042,0.008289,0.035935,0.001291,0.020403,0.492986,21
2,39267,606,0.166621,0.027762,-0.025451,0.000648,-0.012588,0.5033,23
3,39663,515,0.088607,0.007851,-0.02859,0.000817,-0.029457,0.479612,21
4,39495,529,0.12361,0.01528,0.014904,0.000222,0.068217,0.534972,22
5,39622,526,0.086344,0.007455,-0.028546,0.000815,-0.052657,0.465779,21
6,38849,632,0.081882,0.006705,-0.04553,0.002073,-0.02091,0.518987,21
7,39802,470,0.123813,0.01533,0.01763,0.000311,0.023601,0.493617,22
8,39986,528,0.083393,0.006954,-0.001375,2e-06,-0.004807,0.49053,21
9,39933,514,0.080147,0.006424,-0.036694,0.001346,-0.03464,0.478599,21
