fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.046645,0.002176,0.008808,7.8e-05,0.021706,21
1,271560,3838,0.050457,0.002546,-0.019437,0.000378,-0.023927,21
2,273072,3787,0.064502,0.004161,0.006192,3.8e-05,-0.005035,22
3,277277,3203,0.049432,0.002444,-0.047477,0.002254,-0.049771,21
4,273362,3746,0.047716,0.002277,-0.033473,0.00112,-0.042707,21
5,275538,3408,0.048073,0.002311,-0.004858,2.4e-05,-0.000456,21
6,272895,3839,0.051789,0.002682,-0.00461,2.1e-05,-0.014825,21
7,278245,3162,0.071654,0.005134,-0.012375,0.000153,-0.016974,22
8,276139,3294,0.050133,0.002513,-0.007288,5.3e-05,0.006676,21
9,277479,3174,0.049003,0.002401,-0.001857,3e-06,-0.002474,21
