fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho
0,306037,34005,0.581442,0.338075,0.462315,0.213735,0.400985
1,306037,34005,0.582003,0.338727,0.468867,0.219837,0.400476
2,306038,34004,0.581209,0.337803,0.457831,0.20961,0.387619
3,306038,34004,0.579652,0.335996,0.460428,0.211994,0.394273
4,306038,34004,0.581847,0.338546,0.456322,0.20823,0.391368
5,306038,34004,0.581713,0.33839,0.462456,0.213866,0.394397
6,306038,34004,0.578723,0.33492,0.462277,0.2137,0.390547
7,306038,34004,0.579896,0.336279,0.461757,0.21322,0.395406
8,306038,34004,0.582373,0.339158,0.461864,0.213318,0.392303
9,306038,34004,0.581141,0.337725,0.458285,0.210026,0.392118
