fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.562669,0.316596,0.380052,0.14444,0.334175,60
1,274736,3540,0.52772,0.278488,0.343241,0.117814,0.291508,34
2,274364,3622,0.579932,0.336322,0.350169,0.122618,0.315756,115
3,276327,3357,0.575749,0.331487,0.402837,0.162278,0.374783,110
4,270348,4056,0.56031,0.313947,0.372292,0.138601,0.341861,68
5,279295,2991,0.579773,0.336137,0.349298,0.122009,0.310937,98
6,278054,3168,0.55916,0.31266,0.398431,0.158747,0.350996,64
7,271738,3799,0.566347,0.320749,0.379566,0.144071,0.361207,62
8,276418,3335,0.542699,0.294522,0.299444,0.089667,0.284472,43
9,277417,3244,0.536487,0.287819,0.406378,0.165143,0.359223,37
