component,r_proj_score,w1_pole,w2_pole
C1,0.2960302531719208,"playing, cause, have, dealing, bad, lot, does, re, loose, serious","hothouses, crossbench, refoundation, muralists, biotechnologist, chartist, envelopment, graphology, contextualisation, doxing"
C2,0.17291291058063507,"piper, dolly, hendrix, hells, stevie, billy, boogie, rockabilly, monty, lonesome","acceptability, demonstrating, effectiveness, adherence, consistency, timeliness, focus, importance, strengths, scope"
C3,0.24134083092212677,"spatiality, ethnocentrism, interdisciplinarity, socioeconomics, esotericism, metacognition, asexuality, colorism, exoticism, positivist","returns, opens, wants, tells, takes, keeps, ready, meets, next, starts"
C4,0.18409287929534912,"snps, transpacific, monotype, intaglio, altarpieces, woodcut, roundels, lithographed, woodcuts, lithographs","logical, suggested, relate, timeline, point, subject, explain, logic, descriptions, clarified"
C5,0.23261478543281555,"rise, decline, volume, improve, doubling, accelerate, demand, increasing, decrease, shift","crossbench, paxman, ncos, castillian, catholicos, hothouses, sociolinguist, haberdasheries, biotechnologist, muralists"
C6,0.1362585425376892,"braids, curly, dreadlocks, tattooed, goddess, bearded, bald, wig, tresses, handsome","budget, burden, transportation, domestic, freight, costs, savings, businesses, entity, current"
C7,0.1438576877117157,"systems, utilities, heaters, distributed, drives, operators, maintenance, cluster, internal, system","dolmens, menhirs, seigneur, gcr, unlettered, adivasi, anglophone, medievalist, sheppards, fiords"
C8,0.18038241565227509,"aid, corporation, advisory, key, public, fiscal, financials, businesses, assistance, entity","capillaries, cells, cavity, vessels, bony, cornea, callus, sheaths, periosteum, bandages"
C9,0.17234328389167786,"footlights, souse, verminous, simians, scalawags, madhouses, rotters, turquoises, bluebottles, chitlins","bearing, gap, steeply, inner, main, larger, sloping, smaller, enclosed, quadrant"
C10,0.2022830992937088,"real, go, dealing, doing, wrong, made, called, know, time, thought","sedimentology, organismal, musicological, zoologists, lepidoptera, marsupials, typologies, mycology, phycology, ethnomusicology"
C11,0.14313825964927673,"showroom, inventory, merchandise, franchises, retailer, sells, shipments, resale, sales, warehouse","reproof, stirred, vehement, displeasure, gladness, abhorrence, disgust, exultation, mingled, wrath"
C12,0.15338779985904694,"racialist, antiracist, islamophobic, eugenicist, skinhead, vanguards, arabized, plp, inebriates, bibliophiles","architectures, networked, telecommunication, remote, external, powered, buildings, monitoring, troubleshooting, environment"
C13,0.1600087732076645,"mobility, ventilation, torque, furnace, heating, efficiency, speed, retrofit, footprint, braking","figured, gutted, trashed, bored, annoyed, tired, shocked, forgot, disappointed, quit"
C14,0.16207975149154663,"youtube, trailers, clip, clips, footage, videos, video, pic, pics, pictures","significantly, reduced, risen, greatly, accelerated, widened, increased, combined, tripled, significant"
C15,0.17596974968910217,"connected, separate, engineering, modules, control, modular, space, units, conditioning, distributed","tuff, fu, roadie, rasta, smurf, skippy, daddy, boy, rhymes, chipmunk"
