fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.046922,0.002202,-0.000381,0.0,0.001961,0.502955,21
1,306037,34005,0.045717,0.00209,-0.005156,2.7e-05,-0.009411,0.498809,21
2,306038,34004,0.049026,0.002404,-0.001529,2e-06,-0.001232,0.500147,21
3,306038,34004,0.049056,0.002406,0.004433,2e-05,0.003737,0.505646,21
4,306038,34004,0.04539,0.00206,0.001803,3e-06,0.002426,0.50347,21
5,306038,34004,0.050113,0.002511,-0.008776,7.7e-05,-0.004619,0.496442,21
6,306038,34004,0.050226,0.002523,0.000943,1e-06,0.003269,0.504117,21
7,306038,34004,0.047122,0.00222,-0.007917,6.3e-05,-0.007039,0.498941,21
8,306038,34004,0.048461,0.002348,-0.002608,7e-06,-0.003108,0.499118,21
9,306038,34004,0.049028,0.002404,-0.00832,6.9e-05,-0.00653,0.502382,21
