component,W1_sim,W2_sim,baseline_sim,W1_z,W2_z,r_bias_v_align,W1_words,W2_words
C1,0.12696823,0.11809149,0.13714516,-1.0661518255065872,-1.9960947868203802,0.03803556697844806,"sunflower, desktop, streets, lighthouse, buildings, farmlands, lawns, activity, ballads, feet, temperature, housekeeper, heights, groundwater, neighborhood","theft, fun, overtime, soloists, debris, tributaries, dispersal, cds, incentives, nostalgia, droughts, delivery, promoter, diesel, virtue"
C2,0.116883166,0.17131206,0.13714516,-2.122680431963893,3.579381653748971,0.006735407738472992,"campsites, ceilings, soybeans, corridors, estuaries, wharves, athleticism, verandahs, cameraman, protagonist, burglary, harmonies, pathos, editorials, royalties","justices, memory, mangoes, ballads, doors, coatings, horror, stairs, attention, rum, vision, waterfalls, belief, railways, relief"
C3,0.13896257,0.15060265,0.13714516,0.19039440151294712,1.4098292997209692,0.06580234081796443,"textures, months, years, formula, illustrations, statistics, days, grapes, chapter, diatoms, sales, examples, bitterness, notebooks, voters","caricaturist, martyrdom, pitcher, variants, mergers, bravery, elevation, inquiry, coastline, genealogy, parameters, prowess, villagers, car, longevity"
C4,0.12970155,0.15128598,0.13714516,-0.7798046651189326,1.4814153092826365,-0.04128103709447371,"counties, hangar, cameos, holders, kidney, outlook, flashbacks, canyons, nightlife, everyday, honesty, operettas, eras, newcomers, witchcraft","specifications, women, distributor, sociologists, representations, colleges, brilliance, competency, elements, none, leaders, scenes, languages, agents, journals"
C5,0.13754424,0.13705662,0.13714516,0.04180858992259806,-0.009275880864762814,0.036406960423862406,"soybeans, soybean, onion, community, century, satires, metres, pastries, cities, resident, tobacco, toxins, atrocities, past, vodka","dirt, prowess, cocoa, whiskey, brick, figurines, fishery, illustrations, lipids, masts, testimony, terrain, basketball, condominiums, potentials"
C6,0.13981414,0.13991801,0.13714516,0.27960645800225464,0.2904886804035104,-0.0008760590516275132,"laymen, moments, creeds, excitement, dirt, thickness, amplifiers, mayors, comparisons, sawmills, laughter, passion, creatures, girls, soloists","choreographers, repentance, textbooks, superstition, responsibilities, recession, connection, editorials, memorials, transmission, clarification, texts, goal, corrections, texture"
C7,0.12903017,0.1468035,0.13714516,-0.8501402572163331,1.011823450236396,0.007183972705614806,"rapids, surgery, eras, laughter, electors, consultancy, physicality, substance, reaction, coffee, containers, pregnancy, continents, lips, self","supervision, flashbacks, principals, thickness, marketers, annotation, amphetamines, civilians, neighbourhood, battalions, dexterity, morning, ophthalmology, thighs, cds"
C8,0.12159833,0.1658497,0.13714516,-1.6287116766464131,3.007135360204929,-0.03278309095584324,"finals, gyms, dolls, rivers, carbon, oceans, apps, voters, passports, fluency, elephants, chores, wales, paranoia, pregnancy","burglary, satisfaction, skill, bitterness, commentary, maneuverability, statehood, bodywork, thickness, procedure, honesty, chemotherapy, compressors, mortality, evil"
C9,0.1295765,0.1341011,0.13714516,-0.792905168689631,-0.3189017244323808,0.035099750122908946,"childbirth, condominiums, pastoralist, bitterness, wildlife, choreographers, incest, nominee, nuns, warmth, openings, circulation, royalty, difference, wisdom","atrocities, pistons, carnage, penance, kidney, toxins, conversation, systematics, rodents, sons, fertilizers, visitors, investigations, ozone, rationale"
C10,0.15164037,0.13805942,0.13714516,1.5185422487990712,0.0957794800500711,0.04811378280922493,"woman, children, grandmother, teacher, sister, neighbourhoods, sons, boys, creatures, kingfishers, years, ions, goodness, child, girl","entrepreneurs, lakes, dukes, tensions, attorneys, logic, mountains, shoppers, diplomat, unions, diabetes, futurism, vulnerabilities, thickets, prosecution"
C11,0.1352424,0.1693223,0.13714516,-0.19933621329237516,3.3709303498525314,-0.01068399762898332,"workshops, setbacks, holders, hatred, magazines, computers, paintings, figs, workers, stickers, collection, rediscovery, bombings, cadets, standings","immunology, manual, laity, relationships, oppression, wisdom, injuries, deforestation, membership, past, cancer, courage, diffusion, congestion, originality"
C12,0.13816252,0.13511172,0.13714516,0.10658052678573146,-0.21302680150913214,0.028556962986461827,"comedy, drama, variety, movies, arena, violence, quality, production, actor, fi, programmer, bacteria, actress, formula, temperature","visions, attendance, olives, playwrights, driver, dolls, executions, standards, patriarchy, manners, sisters, reader, entries, specials, taxonomy"
C13,0.13659078,0.13250631,0.13714516,-0.05807806659250012,-0.4859737327915823,0.013442951298751176,"sons, ore, succession, threat, counties, campgrounds, men, feet, emission, servant, leader, none, apps, clays, members","photography, civilization, methodology, landings, musicologist, epics, statistics, paranoia, magic, brokerage, environmentalism, scientists, history, newspapers, era"
C14,0.14427017,0.13195904,0.13714516,0.7464274169248072,-0.5433071687592942,0.022711351492708965,"midnight, cattle, past, motivational, sheep, peasant, sales, vegetable, cowardice, coalition, citizens, products, bacteria, funeral, basketball","lenders, convenience, criticism, surfers, subdivisions, expressionism, convergence, demonstration, leisure, foliage, epidemics, sorghum, laity, heath, judiciary"
C15,0.14450644,0.15511729,0.13714516,0.771179750649425,1.8827899488894173,-0.03506970054943874,"paramedics, mayors, petroleum, cocoa, expression, remembrance, memories, pupils, philosophers, skeptics, museums, fatalities, memory, chef, neighbourhood","height, executives, operatives, goals, accomplishments, multiple, superstitions, commitment, hungarians, deduction, decency, warmth, noblemen, goal, legislators"
