condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,8e-06,1.6e-05,10,22.5,28.5
default,0,mean_pooled,word_novel,0.00033,0.000677,10,28.7,34.7
default,0,words_only,pair_novel,2.8e-05,3.2e-05,10,14.0,20.0
default,0,words_only,word_novel,0.000141,0.000286,10,18.0,24.0
default,1,mean_pooled,pair_novel,1.7e-05,2.7e-05,10,14.2,20.2
default,1,mean_pooled,word_novel,0.000158,0.000248,10,15.5,21.5
default,1,words_only,pair_novel,1.4e-05,2e-05,10,11.3,17.3
default,1,words_only,word_novel,0.000395,0.0005,10,10.7,16.7
default,2,mean_pooled,pair_novel,3.2e-05,4e-05,10,16.6,22.6
default,2,mean_pooled,word_novel,0.000221,0.000342,10,17.7,23.7
default,2,words_only,pair_novel,1.2e-05,2.4e-05,10,11.7,17.7
default,2,words_only,word_novel,0.000405,0.000345,10,12.8,18.8
default,3,mean_pooled,pair_novel,5.2e-05,7.8e-05,10,18.6,24.6
default,3,mean_pooled,word_novel,0.000457,0.000489,10,16.4,22.4
default,3,words_only,pair_novel,3.4e-05,5e-05,10,10.7,16.7
default,3,words_only,word_novel,0.000326,0.00057,10,14.1,20.1
default,4,mean_pooled,pair_novel,3.4e-05,4.8e-05,10,15.6,21.6
default,4,mean_pooled,word_novel,0.000287,0.000298,10,16.2,22.2
default,4,words_only,pair_novel,2.3e-05,2.1e-05,10,11.4,17.4
default,4,words_only,word_novel,0.0003,0.00046,10,12.7,18.7
default,5,mean_pooled,pair_novel,3.1e-05,6.1e-05,10,14.6,20.6
default,5,mean_pooled,word_novel,0.000457,0.000236,10,15.4,21.4
default,5,words_only,pair_novel,2.3e-05,2.4e-05,10,10.4,16.4
default,5,words_only,word_novel,0.000191,0.000193,10,11.7,17.7
default,6,mean_pooled,pair_novel,2.1e-05,2.3e-05,10,12.7,18.7
default,6,mean_pooled,word_novel,0.000393,0.000587,10,16.5,22.5
default,6,words_only,pair_novel,1.8e-05,1.4e-05,10,10.4,16.4
default,6,words_only,word_novel,0.000392,0.000727,10,13.4,19.4
default,7,mean_pooled,pair_novel,1.9e-05,1.8e-05,10,15.0,21.0
default,7,mean_pooled,word_novel,0.000204,0.00022,10,19.3,25.3
default,7,words_only,pair_novel,2.5e-05,2.1e-05,10,10.7,16.7
default,7,words_only,word_novel,0.000312,0.000206,10,12.2,18.2
default,8,mean_pooled,pair_novel,3.9e-05,5.7e-05,10,14.5,20.5
default,8,mean_pooled,word_novel,0.000225,0.000158,10,16.7,22.7
default,8,words_only,pair_novel,3.4e-05,6.2e-05,10,11.1,17.1
default,8,words_only,word_novel,0.000307,0.000279,10,10.2,16.2
default,9,mean_pooled,pair_novel,2.1e-05,1.5e-05,10,12.5,18.5
default,9,mean_pooled,word_novel,0.000129,0.000145,10,15.8,21.8
default,9,words_only,pair_novel,1.8e-05,1.7e-05,10,9.3,15.3
default,9,words_only,word_novel,0.00034,0.000571,10,13.2,19.2
default,10,mean_pooled,pair_novel,1.7e-05,1.3e-05,10,13.8,19.8
default,10,mean_pooled,word_novel,0.000146,0.000152,10,15.1,21.1
default,10,words_only,pair_novel,1.5e-05,1.6e-05,10,9.4,15.4
default,10,words_only,word_novel,0.000169,0.000217,10,12.3,18.3
default,11,mean_pooled,pair_novel,4.9e-05,4.4e-05,10,12.1,18.1
default,11,mean_pooled,word_novel,0.000149,0.000136,10,16.8,22.8
default,11,words_only,pair_novel,2.2e-05,2.5e-05,10,9.0,15.0
default,11,words_only,word_novel,0.000142,0.000225,10,12.3,18.3
