feature,target,n,r,rho,p
babylm_log_freq,C1,53685,0.2934799405746861,0.29203715731073426,0
babylm_log_freq,C2,53685,-0.15974790378141057,-0.14493145566732332,9.7531686197026e-304
babylm_log_freq,C3,53685,-0.1603551997694711,-0.15288820264723996,4.589991945311854e-306
babylm_log_freq,C4,53685,0.47586531354161965,0.4704977620565994,0
babylm_log_freq,C5,53685,-0.3440754879862576,-0.34813736335817086,0
babylm_log_freq,C6,53685,0.041696841912771475,0.04103737040374955,4.240133309832833e-22
babylm_log_freq,C7,53685,0.08004877038156184,0.0774211367723115,4.9606939671357874e-77
babylm_log_freq,C8,53685,0.002202665984923188,0.0066824603196989915,0.6098084036566145
babylm_log_freq,C9,53685,-0.15371187064272512,-0.13761697020759062,4.143654379816023e-281
babylm_log_freq,C10,53685,0.008786559152084417,0.0059118943813003325,0.04176645121478032
babylm_log_freq,C11,53685,-0.033161289664637564,-0.03797723575575145,1.5250383059593164e-14
babylm_log_freq,C12,53685,-0.0972502580222193,-0.10477290946115173,5.958672359989026e-113
babylm_log_freq,C13,53685,0.18804401431285825,0.15808517064561584,0
babylm_log_freq,C14,53685,-0.035329140795348414,-0.027566651472016472,2.6530371617090404e-16
babylm_log_freq,C15,53685,0.018599274085078124,0.02215706271653419,1.6345499226924225e-5
babylm_log_freq,preference,53685,0.08317726203605644,0.08563503000944502,4.8566138439577106e-83
word_length,C1,53685,-0.17540947456777714,-0.183886735237415,0
word_length,C2,53685,0.2741078159572101,0.25895531132591443,0
word_length,C3,53685,-0.06581719739293661,-0.07273463142149028,1.2872115679614942e-52
word_length,C4,53685,-0.1523284282007581,-0.15193089193967899,4.733023327520972e-276
word_length,C5,53685,0.014387691399187491,0.023062345625459512,8.569089395850896e-4
word_length,C6,53685,0.056341369132042594,0.05720911334977241,5.261012825356908e-39
word_length,C7,53685,-0.12077577628336084,-0.12012116833275822,1.4529878968636463e-173
word_length,C8,53685,-0.03014035551775685,-0.03300298616811731,2.8495399936805e-12
word_length,C9,53685,0.21256069644738143,0.20732418430209307,0
word_length,C10,53685,-0.086773647351280625,-0.08823201051311794,3.0993103338875943e-90
word_length,C11,53685,0.13584977567973197,0.13816904435985153,1.8182407817184715e-219
word_length,C12,53685,0.024006388293990443,0.010472387418310879,2.652397733685046e-8
word_length,C13,53685,-0.18677212817827593,-0.17036215904007967,0
word_length,C14,53685,-0.01636255212599474,-0.01932368075680261,1.4981691844637884e-4
word_length,C15,53685,0.1426260878872588,0.14192160312810867,6.396556067198044e-242
word_length,preference,53685,-0.011456722654216095,-0.016419137192480032,0.007941411405435257
n_syllables,C1,50167,-0.19674942856205965,-0.20008535670657213,0
n_syllables,C2,50167,0.28244466544973,0.2684673300457645,0
n_syllables,C3,50167,-0.06745761461870231,-0.07475188809503895,1.0912235839709998e-51
n_syllables,C4,50167,-0.10491689684912481,-0.09792828018924149,9.075807403256802e-123
n_syllables,C5,50167,0.08569124782453422,0.0926815516551268,2.1573498985177535e-82
n_syllables,C6,50167,-0.006220866457587983,-0.005698495945914021,0.16352066645430377
n_syllables,C7,50167,-0.1477043134413709,-0.14650227948541764,1.2567275260866832e-242
n_syllables,C8,50167,-0.04024445497020971,-0.03964869653913583,1.9264528487283156e-19
n_syllables,C9,50167,0.2118561395051424,0.21440259640629686,0
n_syllables,C10,50167,-0.06589672765078383,-0.07308796758581076,2.1161574747420594e-49
n_syllables,C11,50167,0.15212945744407536,0.15451569674483542,1.999371625035981e-257
n_syllables,C12,50167,0.07337495169816013,0.06388537691814265,7.559380899950039e-61
n_syllables,C13,50167,-0.19424033955508313,-0.16755345270568833,0
n_syllables,C14,50167,0.00694504248673779,0.009857894734995157,0.11981989838583458
n_syllables,C15,50167,0.16992907002211835,0.16725251499805102,1.383e-321
n_syllables,preference,50167,-0.004935983520235568,-0.010065527152348744,0.26892552898394345
pair_cosine_sim,C1,53435,-0.002365374331351441,-0.0069529780051651195,0.5845380047483195
pair_cosine_sim,C2,53435,-0.001650868673089693,0.0031237412096953333,0.7027533886233595
pair_cosine_sim,C3,53435,0.0027617837799684365,-2.863782997404062e-4,0.5232129753787872
pair_cosine_sim,C4,53435,0.0013007712972724626,-0.004778797303140739,0.7636588724606932
pair_cosine_sim,C5,53435,-0.005106802272807,-0.009906434076252732,0.23781369496371743
pair_cosine_sim,C6,53435,-0.01132171126400093,-0.013572628349362839,0.008866717124735683
pair_cosine_sim,C7,53435,0.010038835786574954,0.010736402291751483,0.020309379813550344
pair_cosine_sim,C8,53435,-0.0018002275095680947,-0.009150818316432227,0.6773138503449116
pair_cosine_sim,C9,53435,-0.010959664989571091,-0.014265784111319022,0.011294447877712768
pair_cosine_sim,C10,53435,0.005814196754271318,0.009460375737216798,0.17895151594493303
pair_cosine_sim,C11,53435,-0.019956829443010807,-0.01832420530744835,3.95802211676531e-6
pair_cosine_sim,C12,53435,0.015086496088086316,0.01989703342797416,4.875350667864081e-4
pair_cosine_sim,C13,53435,0.0019119991841029217,-0.0010973529483890836,0.6585123470594803
pair_cosine_sim,C14,53435,-0.009414083065392759,-0.016545592490661152,0.02954345879509246
pair_cosine_sim,C15,53435,-0.00818977500622576,-0.008818151506224815,0.0583396777761227
pair_cosine_sim,preference,53435,0.004305248216980862,0.01082454895368922,0.31964726106479363
