fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.087646,0.007682,0.004884,2.4e-05,0.004474,21
1,306037,34005,0.075949,0.005768,-0.001388,2e-06,-0.00113,21
2,306038,34004,0.080816,0.006531,-0.005274,2.8e-05,-0.005134,21
3,306038,34004,0.078357,0.00614,-0.003902,1.5e-05,-0.008486,21
4,306038,34004,0.075172,0.005651,0.009723,9.5e-05,0.007549,21
5,306038,34004,0.072834,0.005305,0.004284,1.8e-05,0.004433,21
6,306038,34004,0.083738,0.007012,-0.001187,1e-06,0.000891,21
7,306038,34004,0.076991,0.005928,0.000122,0.0,-0.000578,21
8,306038,34004,0.067756,0.004591,0.004761,2.3e-05,0.004849,21
9,306038,34004,0.072291,0.005226,0.000266,0.0,-0.000653,21
