fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.167608,0.028093,-0.003819,1.5e-05,-0.013078,0.53144,21
1,40129,499,0.156862,0.024606,0.062594,0.003918,0.074926,0.523046,21
2,39267,606,0.164129,0.026938,0.009139,8.4e-05,-0.001335,0.485149,21
3,39663,515,0.160962,0.025909,-0.048135,0.002317,-0.028735,0.487379,21
4,39495,529,0.162049,0.02626,0.019703,0.000388,-0.005592,0.483932,21
5,39622,526,0.159613,0.025476,-0.026664,0.000711,-0.035925,0.486692,21
6,38849,632,0.215865,0.046598,0.048863,0.002388,0.043692,0.495253,22
7,39802,470,0.149101,0.022231,-0.046845,0.002194,-0.061673,0.474468,21
8,39986,528,0.197717,0.039092,-0.028356,0.000804,-0.045518,0.479167,22
9,39933,514,0.145527,0.021178,0.042135,0.001775,0.051324,0.519455,21
