feature,target,n,r,rho,p
babylm_log_freq,C1,47507,0.4435424726530358,0.42594186165472864,0
babylm_log_freq,C2,47507,0.03131374301975284,0.03058173030670503,8.690872529441553e-12
babylm_log_freq,C3,47507,0.0012699139364197656,0.021231583008210625,0.7819455472663195
babylm_log_freq,C4,47507,-0.150746628716128,-0.15763904144822746,1.8344348914231923e-239
babylm_log_freq,C5,47507,0.22140390619908148,0.23564437731961516,0
babylm_log_freq,C6,47507,-0.005948750194726144,-0.008246661514105072,0.1947781717468818
babylm_log_freq,C7,47507,-0.0027384852450153185,-0.007407566797327995,0.5505952385323376
babylm_log_freq,C8,47507,-0.05105618429583128,-0.06054615141104409,8.452971005468178e-29
babylm_log_freq,C9,47507,-0.02852010591561278,-0.022237406245570194,5.055502441029035e-10
babylm_log_freq,C10,47507,0.09436022904498427,0.08996719109060701,2.1282287048002584e-94
babylm_log_freq,C11,47507,-0.09974473479215158,-0.08537222965395269,2.630277138173532e-105
babylm_log_freq,C12,47507,0.08470436624944973,0.07660455534875886,2.2651074550255206e-76
babylm_log_freq,C13,47507,-0.10858400574288568,-0.10001631676613186,1.5088258331154787e-124
babylm_log_freq,C14,47507,0.002461716389488576,0.009822966100451061,0.5915820306544184
babylm_log_freq,C15,47507,-0.09941577180989043,-0.09378246615878544,1.270688486136248e-104
babylm_log_freq,preference,47507,0.12906467612393585,0.12940440136296397,1.4832575260407674e-175
word_length,C1,340042,-0.35695190058030696,-0.3596805546639417,0
word_length,C2,340042,-0.1990461413958265,-0.19998075775161653,0
word_length,C3,340042,0.19430529881958605,0.18717736083318115,0
word_length,C4,340042,-0.02614014734601178,-0.020013903007520772,1.7588024238413325e-52
word_length,C5,340042,-0.056779594149098105,-0.0667903527814821,8.843968921564621e-241
word_length,C6,340042,-0.053418921488918254,-0.0566060818042448,2.523300730161523e-213
word_length,C7,340042,-0.12422487772440748,-0.11730361164888194,0
word_length,C8,340042,0.12633081160094517,0.1277777601583957,0
word_length,C9,340042,0.1214269556833841,0.11243215189468504,0
word_length,C10,340042,-0.14603287112231625,-0.13857782408130057,0
word_length,C11,340042,0.039373084186435134,0.03345447435927056,9.628884346482034e-117
word_length,C12,340042,-0.023268767060163162,-0.04373313511286388,5.988625722248158e-42
word_length,C13,340042,0.14792922557293883,0.14950526658734192,0
word_length,C14,340042,-0.020276089932297504,-0.012715346385346311,2.9061908660459005e-32
word_length,C15,340042,0.03989744821405333,0.03397141238036122,8.01300359509428e-120
word_length,preference,340042,-0.07604669265786258,-0.07469585962820363,0
n_syllables,C1,299042,-0.3485262236783244,-0.350700390279807,0
n_syllables,C2,299042,-0.20650034447830667,-0.20785695479148963,0
n_syllables,C3,299042,0.18649645095100292,0.1799830432496235,0
n_syllables,C4,299042,-0.025908220535872536,-0.020686355474947495,1.4018017509661405e-45
n_syllables,C5,299042,-0.09160020255912296,-0.09720337247152026,0
n_syllables,C6,299042,-0.0049144532323724295,-0.008756622367316108,0.007199759319855468
n_syllables,C7,299042,-0.1696344232071559,-0.16351051719763832,0
n_syllables,C8,299042,0.16670581752517136,0.16836292236196276,0
n_syllables,C9,299042,0.08995097703399006,0.08475790025974793,0
n_syllables,C10,299042,-0.1360652252428145,-0.1291733256877331,0
n_syllables,C11,299042,-0.008287101899099031,-0.01173270828153193,5.8472576037023084e-6
n_syllables,C12,299042,0.01779721835856537,-0.001081965021934528,2.1786905213277924e-22
n_syllables,C13,299042,0.1261414346132077,0.1267146084035193,0
n_syllables,C14,299042,-0.0473808368003726,-0.038568368416768084,3.5232093137407416e-148
n_syllables,C15,299042,0.061994282271080683,0.05419396455708952,2.107176193477073e-252
n_syllables,preference,299042,-0.073063029995164,-0.07183228777595355,0
pair_cosine_sim,C1,336284,0.0033873785168682803,0.0030632196871392165,0.04949077949818404
pair_cosine_sim,C2,336284,0.002333824456135906,0.0034140310327067124,0.175933754428329
pair_cosine_sim,C3,336284,0.0025079076897602253,0.0023994619484974888,0.14585413620128732
pair_cosine_sim,C4,336284,-0.0013272301831258888,-0.0014177396478705884,0.44150264199675837
pair_cosine_sim,C5,336284,0.010054533230034848,0.010315163785672102,5.517899081300714e-9
pair_cosine_sim,C6,336284,0.004842179865833965,0.003973278606230432,0.004985238093006725
pair_cosine_sim,C7,336284,0.002765253009738026,0.0036776498852829384,0.10880946315547246
pair_cosine_sim,C8,336284,-7.530658280897232e-4,-0.0019809479771716303,0.6623279820834974
pair_cosine_sim,C9,336284,2.4088415387962616e-4,6.578955830678847e-4,0.8889063488045172
pair_cosine_sim,C10,336284,-0.0034801869680400723,-0.004324143310049418,0.043574704434433585
pair_cosine_sim,C11,336284,0.002738435487409741,0.0036240640195683814,0.11228276867149659
pair_cosine_sim,C12,336284,-0.0038328096661151135,-0.005402592783841186,0.026239666755358753
pair_cosine_sim,C13,336284,-0.005085308150016852,-0.005634875242300032,0.0031882640686450928
pair_cosine_sim,C14,336284,0.007656830760009629,0.005750911902861547,8.985665982648149e-6
pair_cosine_sim,C15,336284,-0.0021615027223028647,-0.0012717752368770687,0.210041179110577
pair_cosine_sim,preference,336284,-9.489211349550967e-4,-0.002079138534481316,0.582129097873733
