fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.486925,0.237096,0.429395,0.18438,0.371861,25
1,306037,34005,0.500119,0.250119,0.427533,0.182784,0.363784,27
2,306038,34004,0.48508,0.235303,0.434028,0.188381,0.377962,25
3,306038,34004,0.483975,0.234232,0.428958,0.184005,0.365713,25
4,306038,34004,0.473458,0.224163,0.422092,0.178162,0.367331,24
5,306038,34004,0.479166,0.2296,0.427937,0.18313,0.372968,25
6,306038,34004,0.49383,0.243868,0.42204,0.178118,0.366452,26
7,306038,34004,0.484037,0.234292,0.42211,0.178177,0.366213,25
8,306038,34004,0.487154,0.237319,0.425322,0.180899,0.369119,26
9,306038,34004,0.481011,0.231372,0.432213,0.186808,0.376366,25
