fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.046872,0.002197,-0.0038,1.4e-05,-0.006209,0.498515,22
1,306037,34005,0.047891,0.002294,0.007695,5.9e-05,0.006931,0.501779,22
2,306038,34004,0.05434,0.002953,-0.001726,3e-06,-0.002961,0.499088,22
3,306038,34004,0.052746,0.002782,-3.7e-05,0.0,0.000355,0.497941,22
4,306038,34004,0.048022,0.002306,0.005066,2.6e-05,8e-06,0.497824,22
5,306038,34004,0.05198,0.002702,-0.010675,0.000114,-0.009389,0.497147,22
6,306038,34004,0.052937,0.002802,0.001982,4e-06,0.002756,0.499882,22
7,306038,34004,0.030346,0.000921,-0.003758,1.4e-05,-0.001758,0.496853,21
8,306038,34004,0.050241,0.002524,0.003184,1e-05,0.002279,0.498088,22
9,306038,34004,0.050297,0.00253,-0.002824,8e-06,-0.002438,0.497353,22
