fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.065071,0.004234,-0.005174,2.7e-05,-0.005368,0.504537,21
1,271560,3838,0.05536,0.003065,-0.012566,0.000158,-0.007607,0.491662,21
2,273072,3787,0.060603,0.003673,-0.012179,0.000148,0.002351,0.506205,21
3,277277,3203,0.059185,0.003503,0.009751,9.5e-05,0.009354,0.502654,21
4,273362,3746,0.05742,0.003297,0.010789,0.000116,0.009798,0.502403,21
5,275538,3408,0.059459,0.003535,-0.010626,0.000113,-0.005491,0.501761,21
6,272895,3839,0.057211,0.003273,-0.034447,0.001187,-0.030854,0.48919,21
7,278245,3162,0.05307,0.002816,0.033626,0.001131,0.048962,0.516445,21
8,276139,3294,0.049304,0.002431,0.007294,5.3e-05,0.012603,0.500304,21
9,277479,3174,0.058068,0.003372,0.010235,0.000105,0.013414,0.515123,21
