fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.505378,0.255407,0.257069,0.066084,0.249764,0.529412,28
1,40129,499,0.498685,0.248687,0.37016,0.137018,0.372005,0.675351,28
2,39267,606,0.492689,0.242743,0.338546,0.114613,0.34942,0.561056,27
3,39663,515,0.493101,0.243148,0.255556,0.065309,0.256559,0.642718,28
4,39495,529,0.486728,0.236904,0.433369,0.187808,0.430598,0.604915,28
5,39622,526,0.504975,0.255,0.285051,0.081254,0.285372,0.54943,30
6,38849,632,0.512847,0.263012,0.272935,0.074493,0.230508,0.518987,31
7,39802,470,0.470524,0.221392,0.397255,0.157812,0.374807,0.589362,26
8,39986,528,0.508907,0.258986,0.27999,0.078394,0.282371,0.534091,31
9,39933,514,0.48078,0.23115,0.283002,0.08009,0.291852,0.659533,27
