fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.040175,0.001614,0.006027,3.6e-05,0.003414,0.502691,21
1,306037,34005,0.035456,0.001257,-0.002126,5e-06,-0.006423,0.497103,21
2,306038,34004,0.057306,0.003284,-0.008287,6.9e-05,-0.006645,0.498853,22
3,306038,34004,0.068081,0.004635,-0.010808,0.000117,-0.011728,0.49553,22
4,306038,34004,0.071062,0.00505,-0.003552,1.3e-05,-0.002108,0.498677,23
5,306038,34004,0.060132,0.003616,-0.004568,2.1e-05,-0.002686,0.501206,22
6,306038,34004,0.063173,0.003991,0.00052,0.0,-0.001605,0.500088,22
7,306038,34004,0.04045,0.001636,0.00359,1.3e-05,0.005183,0.501353,21
8,306038,34004,0.071638,0.005132,-0.002791,8e-06,0.001056,0.500235,23
9,306038,34004,0.060062,0.003607,0.001162,1e-06,0.001011,0.499118,22
