fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.05931,0.003518,-0.019545,0.000382,0.02787,0.48073,21
1,40129,499,0.104772,0.010977,0.067858,0.004605,0.064877,0.537074,22
2,39267,606,0.134797,0.01817,0.032743,0.001072,0.033145,0.518152,23
3,39663,515,0.064903,0.004212,-0.105486,0.011127,-0.090372,0.462136,21
4,39495,529,0.11431,0.013067,-0.031475,0.000991,-0.049145,0.468809,22
5,39622,526,0.115586,0.01336,-0.017101,0.000292,-0.017001,0.496198,22
6,38849,632,0.064815,0.004201,0.000919,1e-06,-0.015038,0.504747,21
7,39802,470,0.059556,0.003547,-0.112613,0.012682,-0.093696,0.474468,21
8,39986,528,0.099403,0.009881,0.01255,0.000157,0.008716,0.524621,22
9,39933,514,0.159631,0.025482,-0.030028,0.000902,-0.057181,0.449416,23
