fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.037399,0.001399,0.018414,0.000339,0.017253,0.51523,21
1,271560,3838,0.042935,0.001843,-0.046237,0.002138,-0.039202,0.496352,21
2,273072,3787,0.053664,0.00288,0.005425,2.9e-05,1e-05,0.491946,22
3,277277,3203,0.064646,0.004179,-0.029768,0.000886,-0.023911,0.494224,22
4,273362,3746,0.039799,0.001584,0.021704,0.000471,0.016653,0.503203,21
5,275538,3408,0.059692,0.003563,0.005743,3.3e-05,0.001699,0.501174,22
6,272895,3839,0.065476,0.004287,0.026377,0.000696,0.024435,0.511331,22
7,278245,3162,0.063626,0.004048,0.011216,0.000126,0.003641,0.500633,22
8,276139,3294,0.038405,0.001475,-0.017251,0.000298,-0.022288,0.489678,21
9,277479,3174,0.064306,0.004135,-0.020736,0.00043,-0.017038,0.493069,22
