fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.539372,0.290922,0.460919,0.212446,0.41173,0.632672,36
1,306037,34005,0.534353,0.285533,0.453481,0.205645,0.400466,0.626878,35
2,306038,34004,0.538829,0.290337,0.460465,0.212028,0.406222,0.630573,35
3,306038,34004,0.53091,0.281865,0.445545,0.198511,0.392761,0.629397,32
4,306038,34004,0.510405,0.260513,0.447886,0.200602,0.401868,0.631543,29
5,306038,34004,0.529654,0.280533,0.455777,0.207733,0.404154,0.628103,32
6,306038,34004,0.535932,0.287223,0.463007,0.214376,0.413718,0.634749,34
7,306038,34004,0.516371,0.266639,0.449071,0.201665,0.398404,0.628132,29
8,306038,34004,0.528375,0.27918,0.459899,0.211507,0.410963,0.630808,32
9,306038,34004,0.534168,0.285335,0.449852,0.202367,0.399327,0.625897,33
