fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.521959,0.272441,0.365704,0.133739,0.32081,0.610499,30
1,271560,3838,0.523325,0.27387,0.369322,0.136399,0.328254,0.605003,33
2,273072,3787,0.52968,0.280561,0.365801,0.133811,0.333075,0.607605,50
3,277277,3203,0.541061,0.292747,0.315871,0.099775,0.278021,0.58695,33
4,273362,3746,0.524274,0.274863,0.349322,0.122026,0.318762,0.609717,30
5,275538,3408,0.523858,0.274427,0.309712,0.095922,0.291015,0.59331,30
6,272895,3839,0.506541,0.256584,0.32063,0.102803,0.286375,0.595207,27
7,278245,3162,0.52386,0.274429,0.347884,0.121023,0.322215,0.606578,29
8,276139,3294,0.525622,0.276278,0.322449,0.103974,0.307838,0.602611,30
9,277479,3174,0.550595,0.303155,0.306802,0.094128,0.271815,0.594518,36
