fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.440932,0.194421,0.381882,0.145834,0.348776,0.61338,24
1,306037,34005,0.438679,0.19244,0.378108,0.142965,0.340291,0.609293,24
2,306038,34004,0.437931,0.191784,0.385632,0.148712,0.348376,0.613251,24
3,306038,34004,0.436651,0.190664,0.37681,0.141986,0.341872,0.615898,24
4,306038,34004,0.424938,0.180572,0.377812,0.142742,0.344297,0.61181,23
5,306038,34004,0.445121,0.198132,0.377351,0.142394,0.339775,0.607605,25
6,306038,34004,0.437223,0.191164,0.388714,0.151099,0.353603,0.612046,24
7,306038,34004,0.425904,0.181394,0.380694,0.144928,0.344441,0.609046,23
8,306038,34004,0.4407,0.194216,0.385474,0.14859,0.348817,0.611163,25
9,306038,34004,0.434292,0.18861,0.382335,0.14618,0.346103,0.614487,24
