fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.030758,0.000946,0.009431,8.9e-05,0.00802,0.502268,22
1,271560,3838,0.047021,0.002211,-0.012958,0.000168,-0.011462,0.50469,24
2,273072,3787,0.036847,0.001358,0.007225,5.2e-05,0.001015,0.496963,30
3,277277,3203,0.042848,0.001836,-0.025176,0.000634,-0.029856,0.494224,23
4,273362,3746,0.037923,0.001438,-0.026389,0.000696,-0.032598,0.487453,23
5,275538,3408,0.03355,0.001126,0.024346,0.000593,0.015188,0.51027,22
6,272895,3839,0.033119,0.001097,0.0024,6e-06,0.00307,0.507163,22
7,278245,3162,0.040679,0.001655,0.006122,3.7e-05,0.006659,0.49494,23
8,276139,3294,0.031415,0.000987,0.012826,0.000165,-0.002281,0.493928,22
9,277479,3174,0.052465,0.002753,-0.011725,0.000137,-0.013473,0.491493,25
