fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.08642,0.007468,0.003208,1e-05,0.004622,0.502161,21
1,306037,34005,0.075815,0.005748,6.6e-05,0.0,0.001753,0.505161,21
2,306038,34004,0.080173,0.006428,0.001871,4e-06,-0.002227,0.497736,21
3,306038,34004,0.079834,0.006373,-0.0039,1.5e-05,-0.00746,0.498735,21
4,306038,34004,0.073913,0.005463,0.009002,8.1e-05,0.007692,0.503705,21
5,306038,34004,0.071104,0.005056,0.002501,6e-06,0.002375,0.501176,21
6,306038,34004,0.081347,0.006617,0.001376,2e-06,0.00333,0.502647,21
7,306038,34004,0.07749,0.006005,0.003832,1.5e-05,0.002612,0.501529,21
8,306038,34004,0.066392,0.004408,0.005792,3.4e-05,0.004274,0.500088,21
9,306038,34004,0.068741,0.004725,-0.005711,3.3e-05,-0.000495,0.505146,21
