fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.084134,0.007079,0.008482,7.2e-05,0.005774,0.506805,21
1,271560,3838,0.080189,0.00643,0.000745,1e-06,0.008361,0.502605,21
2,273072,3787,0.077587,0.00602,-0.014669,0.000215,-0.011536,0.490098,21
3,277277,3203,0.081864,0.006702,-0.001538,2e-06,0.003285,0.504527,21
4,273362,3746,0.080907,0.006546,-0.034847,0.001214,-0.032303,0.491191,21
5,275538,3408,0.080078,0.006412,0.010116,0.000102,0.008204,0.507923,21
6,272895,3839,0.081493,0.006641,0.000232,0.0,0.000545,0.491534,21
7,278245,3162,0.075512,0.005702,0.002827,8e-06,-0.00861,0.497154,21
8,276139,3294,0.062966,0.003965,0.011546,0.000133,0.012507,0.493625,21
9,277479,3174,0.073439,0.005393,-0.007661,5.9e-05,-0.014257,0.495274,21
