fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.549798,0.302278,0.491009,0.24109,0.423269,37
1,306037,34005,0.564411,0.31856,0.491512,0.241584,0.420044,42
2,306038,34004,0.558062,0.311434,0.496314,0.246328,0.428585,37
3,306038,34004,0.547579,0.299843,0.488941,0.239064,0.417955,36
4,306038,34004,0.568537,0.323234,0.486188,0.236379,0.415599,46
5,306038,34004,0.553381,0.30623,0.486473,0.236656,0.419284,38
6,306038,34004,0.574069,0.329556,0.488993,0.239114,0.422473,47
7,306038,34004,0.564183,0.318303,0.482728,0.233027,0.415237,40
8,306038,34004,0.559464,0.313,0.488515,0.238646,0.423706,40
9,306038,34004,0.553644,0.306522,0.492261,0.242321,0.423492,37
