component,W1_sim,W2_sim,baseline_sim,W1_z,W2_z,r_bias_v_align,W1_words,W2_words
C1,0.25802782,0.13796611,0.11959714,15.527057762423672,2.0603533517869432,0.13351538376889482,"tall, soft, thick, long, beautiful, broad, merry, bright, grew, thin, large, deep, dark, nice, big","ochre, clearest, gamelan, pointy, elongate, dejected, coptic, lanterns, squat, persevering, infrequent, scented, forgiving, flaky, oval"
C2,0.14335488,0.17394109,0.11959714,2.6647835708065912,6.095481719047751,-0.019239017643952805,"ashes, guts, heats, go, went, purges, paws, ligands, coups, friendlies, step, hill, jumpy, bans, pacy","evident, arrests, hearts, suffer, aniseed, calcareous, winemaking, exits, exhibitions, comfort, successive, pretentious, stronger, foremen, unusable"
C3,0.14676774,0.1275227,0.11959714,3.0475862562640623,0.8889704153129802,0.08113005570404545,"deity, publication, mutualism, publications, depiction, taoism, topology, ordination, causality, publicity, contented, socialism, seismicity, socioeconomics, emulation","illustration, parkways, proved, charter, synthesis, centenary, verbal, schism, swallowing, sun, contest, making, responses, tense, archives"
C4,0.11009447,0.14380339,0.11959714,-1.0658649581114519,2.7150906358565376,-0.05564269842148216,"click, timeline, whisky, agenda, materiel, route, range, recipe, ancestry, beasts, humankind, claim, ranking, faction, dialog","lines, fashionable, termination, cattle, realignments, registrations, imitators, transitions, movements, workers, listen, regions, ratings, deportations, citizens"
C5,0.14263755,0.1167089,0.11959714,2.5843246916265725,-0.32395901338594213,0.10119730802906103,"participations, allies, notables, understand, participating, parsing, notations, sedimentology, findings, tapering, chairpersons, finding, allegations, forces, features","stockpiling, deficiency, toolkits, turmoil, thrift, penmanship, handover, wit, crush, predecessors, payloads, pundit, armament, gastronomy, diacritics"
C6,0.122588225,0.14508636,0.11959714,0.335494923647902,2.8589953500907432,-0.0361778233699695,"woman, coda, arrival, understand, landmarks, singles, guys, genesis, seal, arrests, analyses, cycles, tyres, reruns, medalists","pension, fakes, conformation, fall, defections, mecha, shuttles, later, borrowings, cups, categories, clock, hold, settlement, flu"
C7,0.14656931,0.12087809,0.11959714,3.0253300723973195,0.14367824135091145,0.07886375675759733,"step, stance, outlook, room, downturn, quarterly, scream, fallout, drift, rollout, pull, fall, wards, runes, facebook","domestic, rumours, sociable, rural, trophies, rereleases, alloys, trusting, traditions, presses, invocations, ordinary, claimed, traditional, neurodegeneration"
C8,0.14201955,0.13583228,0.11959714,2.5150072754726662,1.8210124631166453,0.008810843800347787,"theologians, etymology, injunction, consortia, go, pantheism, scientology, topology, facebook, comeback, initiatives, typology, punctuation, terminology, categories","engineered, rearing, crowding, joy, fire, claim, radiation, splash, namesakes, rankings, translating, shaving, curse, curating, aircraft"
C9,0.1325163,0.13228524,0.11959714,1.4490754618975112,1.423158941393027,0.02740173769990776,"pantheism, victim, repudiation, taoism, championships, violent, priors, capitalisation, knighthood, freeways, conspirators, memberships, proposal, chapters, migrations","goodwill, monuments, sleeve, manifestos, liberties, apparent, pseudonyms, derailment, fin, girls, lodge, thinker, correct, standalone, cornered"
C10,0.12378182,0.13717574,0.11959714,0.4693746610998364,1.971701335530117,-0.00428256635043309,"tariff, friendlies, timeline, commission, survey, lawless, sprinter, agenda, border, reverb, grouse, armistice, mission, gauge, translating","dying, passage, allocations, runes, dangerous, examples, miserable, medalists, victory, screamed, wash, exile, spiritualist, eating, influences"
C11,0.12514782,0.13725975,0.11959714,0.6225915057345793,1.9811246131390607,0.019240007888383086,"defection, angling, subtypes, effect, sowing, grounds, hydro, assessments, effects, bad, professorship, ashes, fates, nicks, rededication","preschoolers, doll, spirit, leakage, crop, strike, target, carrying, tuition, government, reflect, retrial, strengths, network, runoff"
C12,0.12262773,0.11482099,0.11959714,0.3399257695048212,-0.5357161734256614,0.02140087500860042,"contest, centralization, capitalisation, way, claim, legalization, capitalization, element, centenary, capital, tree, mauve, miles, purpose, baby","books, indictments, reestablishment, painted, mist, aging, equivalents, ratings, shaping, tickets, smartphone, museums, offshoots, receptors, limitations"
C13,0.12953629,0.17181537,0.11959714,1.1148232141811896,5.857050064683814,-0.0016456485988977304,"capitalization, marketplaces, detainment, legislatures, dumping, suites, watch, pending, politicization, extents, dotted, fluctuating, divestiture, starving, looting","most, quiz, earlier, murdered, novella, visit, pseudonyms, conquests, firsts, ban, awe, marry, proved, innocent, thought"
C14,0.14055698,0.11126026,0.11959714,2.3509573386381413,-0.9351048637345607,0.04984927802736134,"aims, jacket, survey, fairy, frightened, expiry, takeover, parodies, scream, versions, controversies, unification, reign, heavenly, charting","commendations, pledges, whiskey, peril, periodicity, beached, fandom, estate, norm, consortium, deliberations, consorts, translating, descendant, splinters"
C15,0.1312756,0.13350017,0.11959714,1.309912471426444,1.5594321044455302,0.02827845130697049,"stem, proscription, parallels, emigration, interment, edibility, blog, financing, take, quite, exoneration, promotion, deposited, considerable, sanction","stouter, screaming, shouting, coaxial, religion, recordings, saint, click, geography, masters, speakers, sleepy, catholic, talk, troubles"
