fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.036464,0.00133,0.001017,1e-06,-0.001943,0.498633,21
1,306037,34005,0.056912,0.003239,-0.004807,2.3e-05,-0.002678,0.501044,22
2,306038,34004,0.054071,0.002924,-0.003705,1.4e-05,-0.00356,0.497412,22
3,306038,34004,0.065144,0.004244,-0.006327,4e-05,-0.00637,0.498677,22
4,306038,34004,0.070262,0.004937,-0.00625,3.9e-05,-0.001353,0.499177,23
5,306038,34004,0.054738,0.002996,-0.005687,3.2e-05,-0.004944,0.500647,22
6,306038,34004,0.062805,0.003944,-0.001865,3e-06,-0.003846,0.498059,22
7,306038,34004,0.040051,0.001604,0.002114,4e-06,0.00304,0.50147,21
8,306038,34004,0.055715,0.003104,0.001608,3e-06,0.004061,0.501441,22
9,306038,34004,0.058108,0.003377,0.001957,4e-06,0.003251,0.502911,22
