fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.520143,0.270549,0.364714,0.133016,0.316915,0.611795,30
1,271560,3838,0.5206,0.271024,0.370581,0.13733,0.329795,0.598228,33
2,273072,3787,0.52845,0.27926,0.35782,0.128035,0.320965,0.602588,50
3,277277,3203,0.537437,0.288839,0.322567,0.104049,0.283594,0.584452,33
4,273362,3746,0.523927,0.274499,0.341449,0.116587,0.314445,0.609984,30
5,275538,3408,0.543532,0.295427,0.299939,0.089964,0.278194,0.580106,35
6,272895,3839,0.545729,0.29782,0.320252,0.102561,0.277122,0.581662,35
7,278245,3162,0.516466,0.266737,0.339336,0.115149,0.318505,0.607843,28
8,276139,3294,0.52307,0.273603,0.313667,0.098387,0.29924,0.602611,30
9,277479,3174,0.513647,0.263834,0.301164,0.090699,0.264293,0.585066,28
