condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,3e-05,4.5e-05,10,29.3,35.3
default,0,mean_pooled,word_novel,8.6e-05,0.000108,10,46.9,52.9
default,0,words_only,pair_novel,9e-06,1.2e-05,10,24.2,30.2
default,0,words_only,word_novel,0.000277,0.000214,10,31.8,37.8
default,1,mean_pooled,pair_novel,1.4e-05,1.5e-05,10,26.9,32.9
default,1,mean_pooled,word_novel,0.0004,0.000475,10,42.4,48.4
default,1,words_only,pair_novel,3.5e-05,2.9e-05,10,26.6,32.6
default,1,words_only,word_novel,0.000195,0.000222,10,30.8,36.8
default,2,mean_pooled,pair_novel,1.8e-05,2.9e-05,10,30.3,36.3
default,2,mean_pooled,word_novel,0.000175,0.000247,10,41.2,47.2
default,2,words_only,pair_novel,2.4e-05,2.4e-05,10,25.4,31.4
default,2,words_only,word_novel,0.000395,0.000368,10,28.1,34.1
default,3,mean_pooled,pair_novel,2.6e-05,3.2e-05,10,29.8,35.8
default,3,mean_pooled,word_novel,0.000333,0.000297,10,40.2,46.2
default,3,words_only,pair_novel,3.2e-05,5.1e-05,10,26.3,32.3
default,3,words_only,word_novel,0.000295,0.000375,10,28.8,34.8
default,4,mean_pooled,pair_novel,2.8e-05,3.6e-05,10,27.1,33.1
default,4,mean_pooled,word_novel,0.000261,0.000223,10,41.4,47.4
default,4,words_only,pair_novel,3.4e-05,3.3e-05,10,27.9,33.9
default,4,words_only,word_novel,0.000209,0.00039,10,28.7,34.7
default,5,mean_pooled,pair_novel,4.8e-05,4.5e-05,10,25.7,31.7
default,5,mean_pooled,word_novel,0.000382,0.000344,10,38.6,44.6
default,5,words_only,pair_novel,5.6e-05,4.9e-05,10,22.0,28.0
default,5,words_only,word_novel,0.000372,0.000408,10,27.5,33.5
default,6,mean_pooled,pair_novel,2.5e-05,3.9e-05,10,24.0,30.0
default,6,mean_pooled,word_novel,0.000345,0.000585,10,38.5,44.5
default,6,words_only,pair_novel,3.4e-05,5.1e-05,10,24.9,30.9
default,6,words_only,word_novel,0.000125,0.000154,10,28.9,34.9
default,7,mean_pooled,pair_novel,1.7e-05,1.7e-05,10,28.3,34.3
default,7,mean_pooled,word_novel,0.000206,0.000314,10,45.4,51.4
default,7,words_only,pair_novel,3.2e-05,3.1e-05,10,24.8,30.8
default,7,words_only,word_novel,0.000173,0.000196,10,27.1,33.1
default,8,mean_pooled,pair_novel,3.4e-05,4.2e-05,10,30.5,36.5
default,8,mean_pooled,word_novel,6.6e-05,9.2e-05,10,45.8,51.8
default,8,words_only,pair_novel,2.9e-05,2.8e-05,10,25.8,31.8
default,8,words_only,word_novel,0.000203,0.000297,10,31.8,37.8
default,9,mean_pooled,pair_novel,3.2e-05,2.7e-05,10,35.1,41.1
default,9,mean_pooled,word_novel,0.000168,0.000309,10,43.6,49.6
default,9,words_only,pair_novel,1.3e-05,1.4e-05,10,29.7,35.7
default,9,words_only,word_novel,0.000286,0.000485,10,29.8,35.8
default,10,mean_pooled,pair_novel,6.8e-05,0.000101,10,31.6,37.6
default,10,mean_pooled,word_novel,0.000182,0.000243,10,42.9,48.9
default,10,words_only,pair_novel,2.2e-05,2.5e-05,10,23.3,29.3
default,10,words_only,word_novel,0.000227,0.000301,10,28.6,34.6
default,11,mean_pooled,pair_novel,4.4e-05,4e-05,10,28.7,34.7
default,11,mean_pooled,word_novel,0.000284,0.000347,10,42.6,48.6
default,11,words_only,pair_novel,3.5e-05,5.1e-05,10,27.0,33.0
