condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,0,individual,48950,-0.08628081457930041,0.01154709926356972,-7.472076978805427,8.025004705922875e-14,-0.10891327290708738,-0.06364835625151344
attn_zeroed,0,mean_pooled,48950,-0.06687018103115652,0.01198491559421784,-5.579528742231464,2.424433918484615e-8,-0.09036076481819888,-0.043379597244114165
attn_zeroed,0,words_only,48950,-0.09275641248359012,0.011733854104742928,-7.905025207880943,2.7344418530152153e-15,-0.11575491262533294,-0.0697579123418473
attn_zeroed,1,individual,48950,-0.08390706731456715,0.011378282067747377,-7.374317741024213,1.6779325271117104e-13,-0.1062086418366249,-0.061605492792509396
attn_zeroed,1,mean_pooled,48950,-0.05334353166339624,0.012191412824426196,-4.375500397830792,1.2140448195483716e-5,-0.07723885259271282,-0.029448210734079657
attn_zeroed,1,words_only,48950,-0.08306139535044395,0.011519074747601898,-7.21076971635557,5.643918658157988e-13,-0.10563892527800497,-0.06048386542288292
attn_zeroed,2,individual,48950,-0.08518651966572517,0.011483925336382142,-7.417892155380562,1.2091942614961043e-13,-0.10769515630965545,-0.06267788302179489
attn_zeroed,2,mean_pooled,48950,-0.04642136382853887,0.012137037572221787,-3.824768898696014,1.3105708499818272e-4,-0.07021010858651675,-0.02263261907056099
attn_zeroed,2,words_only,48950,-0.07249338754170158,0.0115267145321859,-6.289163086261849,3.218698929460198e-10,-0.09508589154216905,-0.049900883541234106
attn_zeroed,3,individual,48950,-0.08706878698292929,0.011552288322217039,-7.536929875224896,4.8943600987656365e-14,-0.1097114159302732,-0.06442615803558538
attn_zeroed,3,mean_pooled,48950,-0.05698218550321193,0.012190729879715924,-4.674222631905265,2.9585407738555275e-6,-0.08087616785239313,-0.03308820315403072
attn_zeroed,3,words_only,48950,-0.08372861306192225,0.011675598006841738,-7.171248360285996,7.536612250414412e-13,-0.10661293052644084,-0.06084429559740366
attn_zeroed,4,individual,48950,-0.0953015146565129,0.01143414637198246,-8.334816745921144,7.960947307380433e-17,-0.11771258391042944,-0.07289044540259637
attn_zeroed,4,mean_pooled,48950,-0.05684606030822127,0.012086530419670456,-4.703257124617505,2.5674118066651166e-6,-0.08053581041834161,-0.03315631019810093
attn_zeroed,4,words_only,48950,-0.07834034464630897,0.011572501998515087,-6.769525263971536,1.3065864947852782e-11,-0.10102259265087449,-0.055658096641743454
attn_zeroed,5,individual,48950,-0.08398403348002458,0.011384222688791346,-7.377230380666516,1.6416833672108555e-13,-0.10629725169329429,-0.06167081526675486
attn_zeroed,5,mean_pooled,48950,-0.039775828695373744,0.01201685899851062,-3.3100021145545266,9.336265211176987e-4,-0.06332902195255245,-0.01622263543819504
attn_zeroed,5,words_only,48950,-0.0870503691256394,0.011569799219308249,-7.523930837137215,5.406093314800343e-14,-0.10972731964930763,-0.06437341860197118
attn_zeroed,6,individual,48950,-0.08707379895700836,0.011349932524997506,-7.671745956659552,1.7279988114721402e-14,-0.10931980802230049,-0.06482778989171623
attn_zeroed,6,mean_pooled,48950,-0.04712221226472102,0.012107214750907105,-3.8920770164079643,9.95212794087304e-5,-0.07085250392160268,-0.02339192060783936
attn_zeroed,6,words_only,48950,-0.0838379146991004,0.011373437000230696,-7.371379003321499,1.7153032780684355e-13,-0.10612999282850026,-0.06154583656970054
attn_zeroed,7,individual,48950,-0.07778897894582287,0.01151351783911371,-6.756317229262306,1.4312288097334221e-11,-0.10035561726355882,-0.055222340628086924
attn_zeroed,7,mean_pooled,48950,-0.04161712344498965,0.012067241020518439,-3.4487687263581046,5.636225709202764e-4,-0.06526906609260263,-0.01796518079737666
attn_zeroed,7,words_only,48950,-0.07147015834692648,0.011568345903427162,-6.178079298765885,6.539568259702098e-10,-0.09414426035337276,-0.04879605634048021
attn_zeroed,8,individual,48950,-0.0848691736870751,0.011384123917848564,-7.455046545480168,9.131493545436013e-14,-0.10718219830806718,-0.06255614906608302
attn_zeroed,8,mean_pooled,48950,-0.050569007867132205,0.01199692793801846,-4.21516309245121,2.5004491336287746e-5,-0.07408313599758766,-0.027054879736676755
attn_zeroed,8,words_only,48950,-0.07680498056437997,0.011612016567217037,-6.6142672222166174,3.7722933210783605e-11,-0.09956467761559123,-0.0540452835131687
attn_zeroed,9,individual,48950,-0.07327220120186904,0.01137663921777255,-6.440584059957131,1.2011492066982432e-10,-0.09557055571752127,-0.05097384668621682
attn_zeroed,9,mean_pooled,48950,-0.054174907804415716,0.012000045711048091,-4.514558453268096,6.359654453743934e-6,-0.07769514680882816,-0.030654668800003268
attn_zeroed,9,words_only,48950,-0.07882038584844038,0.011568778501838526,-6.8131986307728285,9.655316063577554e-12,-0.10149533575315914,-0.05614543594372162
attn_zeroed,10,individual,48950,-0.0745125222563254,0.011342952613939652,-6.5690587620682646,5.114019397262977e-11,-0.09674485060903833,-0.05228019390361248
attn_zeroed,10,mean_pooled,48950,-0.04231779919100975,0.011949643413144369,-3.5413440993947165,3.9846371974429774e-4,-0.06573924906397949,-0.01889634931804001
attn_zeroed,10,words_only,48950,-0.07574946637532892,0.011582511675051458,-6.539986187839728,6.212858904507602e-11,-0.0984513334705347,-0.05304759928012315
attn_zeroed,11,individual,48950,-0.08028583495560342,0.011489698813095375,-6.9876361653708186,2.831186381070666e-12,-0.10280578768577633,-0.0577658822254305
attn_zeroed,11,mean_pooled,48950,-0.038873242472622076,0.011921590309840425,-3.2607430269210793,0.0011119662642681833,-0.06223970791383114,-0.015506777031413014
attn_zeroed,11,words_only,48950,-0.0794759782770299,0.011543249975874244,-6.885060831493488,5.845721974586038e-12,-0.10210089195300684,-0.05685106460105296
attn_zeroed,12,individual,48950,-0.07398397296944625,0.01124496860342492,-6.579295645779988,4.7743368591930557e-11,-0.09602425144156618,-0.05194369449732633
attn_zeroed,12,mean_pooled,48950,-0.05392503658701992,0.011970366383217149,-4.504877700537605,6.656453376757573e-6,-0.07738710373935088,-0.030462969434688958
attn_zeroed,12,words_only,48950,-0.07799630092976453,0.011438727323474491,-6.818617030034536,9.29846356635418e-12,-0.10041634890564219,-0.05557625295388688
attn_zeroed,13,individual,48950,-0.08027193852840071,0.01128116164594553,-7.115573825435841,1.1297384339901787e-12,-0.10238315581449514,-0.05816072124230629
attn_zeroed,13,mean_pooled,48950,-0.05007394914306957,0.011879147419302537,-4.215281398200678,2.4991391332672578e-5,-0.07335722599037434,-0.0267906722957648
attn_zeroed,13,words_only,48950,-0.0731012985073891,0.011479419193258459,-6.3680311065144695,1.9316326207045055e-10,-0.09560110305469166,-0.050601493960086535
attn_zeroed,14,individual,48950,-0.06531448841957936,0.011351167778638567,-5.753988461213021,8.7680521983395e-9,-0.08756291859738793,-0.04306605824177079
attn_zeroed,14,mean_pooled,48950,-0.051477668931007775,0.011859178854809468,-4.340744798711852,1.4228509433692533e-5,-0.07472180714328056,-0.028233530718735
attn_zeroed,14,words_only,48950,-0.08051286528117263,0.011304892407543789,-7.121948832299028,1.0787345108886325e-12,-0.10267059515546777,-0.05835513540687749
attn_zeroed,15,individual,48950,-0.07771836024487527,0.011270938081578115,-6.895465105242902,5.433810517254296e-12,-0.0998095392175175,-0.05562718127223304
attn_zeroed,15,mean_pooled,48950,-0.047033061496853774,0.011867009651614227,-3.963345685023188,7.401144750474297e-5,-0.07029254816836394,-0.023773574825343598
attn_zeroed,15,words_only,48950,-0.07090095556617255,0.011373337669744984,-6.233962063289581,4.5848296910931606e-10,-0.09319283900658366,-0.048609072125761446
attn_zeroed,16,individual,48950,-0.06228069119096062,0.011287406695835911,-5.517714818757871,3.451711084262243e-8,-0.08440414885259637,-0.040157233529324876
attn_zeroed,16,mean_pooled,48950,-0.04563838179864534,0.011852356212305095,-3.8505746014673146,1.1799086923634523e-4,-0.06886914754666186,-0.02240761605062883
attn_zeroed,16,words_only,48950,-0.06849690884717692,0.01150089049108646,-5.955791762408668,2.605767768697841e-9,-0.09103879740555826,-0.045955020288795584
attn_zeroed,17,individual,48950,-0.07343698809018587,0.011333575899375873,-6.479595561205882,9.283947136819149e-11,-0.09565093796560573,-0.05122303821476601
attn_zeroed,17,mean_pooled,48950,-0.04284467490276526,0.011767114611479973,-3.641051890576988,2.7180615333299174e-4,-0.06590836605183423,-0.01978098375369629
attn_zeroed,17,words_only,48950,-0.07966807955841251,0.011347219140074416,-7.020934254900628,2.2325119782252294e-12,-0.10190877035547144,-0.05742738876135359
attn_zeroed,18,individual,48950,-0.07695154297493775,0.011216846966930202,-6.860354179905305,6.950413949094078e-12,-0.09893670268938977,-0.05496638326048574
attn_zeroed,18,mean_pooled,48950,-0.04646878077632346,0.011772293161961012,-3.947300677702691,7.914764399889468e-5,-0.06954262194881261,-0.02339493960383431
attn_zeroed,18,words_only,48950,-0.07930150791293063,0.011377612813662863,-6.9699601499623025,3.2103057165284857e-12,-0.10160177068864995,-0.057001245137211304
attn_zeroed,19,individual,48950,-0.08397402175228677,0.010965328629176508,-7.658139996721028,1.9209982703368345e-14,-0.10546620239312468,-0.06248184111144886
attn_zeroed,19,mean_pooled,48950,-0.06495582772283623,0.011690084268737364,-5.556489263002725,2.766835594382718e-8,-0.08786853844103651,-0.04204311700463595
attn_zeroed,19,words_only,48950,-0.08606050828280076,0.011207041492162874,-7.679146038941964,1.631175006868937e-14,-0.10802644914462232,-0.0640945674209792
attn_zeroed,20,individual,48950,-0.059221628998535496,0.01098404726825623,-5.391603618611995,7.015413677124888e-8,-0.08075049840503261,-0.03769275959203838
attn_zeroed,20,mean_pooled,48950,-0.036575330541648396,0.011389421686128531,-3.2113422041607635,0.0013220183547833237,-0.05889873885443092,-0.014251922228865871
attn_zeroed,20,words_only,48950,-0.07131981800366152,0.010992166910493217,-6.488240088092096,8.767128940578267e-11,-0.09286460201003957,-0.049775033997283474
attn_zeroed,21,individual,48950,-0.05051029956994117,0.010626136734887139,-4.753401996429105,2.0058968746311493e-6,-0.07133765987474483,-0.029682939265137515
attn_zeroed,21,mean_pooled,48950,-0.0383431545194165,0.011228470390598743,-3.41481548114693,6.38769866164743e-4,-0.060351096288980347,-0.01633521274985265
attn_zeroed,21,words_only,48950,-0.0694662312233135,0.010516415325078413,-6.605504734836586,4.0021042588600296e-11,-0.09007853619876734,-0.048853926247859655
attn_zeroed,22,individual,48950,-0.05213161053485232,0.010663377249141301,-4.888846124153618,1.0174944922504654e-6,-0.07303196271127016,-0.031231258358434478
attn_zeroed,22,mean_pooled,48950,-0.044032621810495644,0.010968993701792922,-4.014280890989877,5.9716048006207735e-5,-0.065531986039295,-0.022533257581696296
attn_zeroed,22,words_only,48950,-0.051132186226248,0.010496623672120264,-4.871298412084498,1.1121297422292654e-6,-0.07170569931548099,-0.03055867313701502
attn_zeroed,23,individual,48950,-0.04940114721441803,0.010518159407255064,-4.69674829042264,2.6505217930217468e-6,-0.07001687061265341,-0.02878542381618265
attn_zeroed,23,mean_pooled,48950,-0.047977385305173294,0.011008393962240043,-4.358254752667901,1.3137048424967647e-5,-0.06955397453501569,-0.026400796075330895
attn_zeroed,23,words_only,48950,-0.05846568590956519,0.010554440094555863,-5.539439836294363,3.049971849072768e-8,-0.0791525199066355,-0.03777885191249488
attn_zeroed,24,individual,48950,-0.06004742915506604,0.010618889174244884,-5.654775011750328,1.569178665856549e-8,-0.0808605841507726,-0.039234274159359483
attn_zeroed,24,mean_pooled,48950,-0.026911507811476037,0.011099530958609351,-2.42456261546819,0.015330435732381981,-0.04866672668893527,-0.005156288934016803
attn_zeroed,24,words_only,48950,-0.05401401149060148,0.010645131517167188,-5.074057695153336,3.908422965022917e-7,-0.0748786018051752,-0.03314942117602775
default,0,individual,48950,-0.00621941822128417,0.012757656082331176,-0.4875047721264258,0.6259028451538402,-0.031224582986303862,0.018785746543735524
default,0,mean_pooled,48950,0.06016402366837098,0.013153725916868501,4.573914953725461,4.798659357967896e-6,0.03438255709625239,0.08594549024048957
default,0,words_only,48950,-0.02613051644446091,0.012835642465497824,-2.0357778361854244,0.04177804266663737,-0.05128853549148392,-9.724973974379013e-4
default,1,individual,48950,-0.006137010246343074,0.012636375891612761,-0.4856622103507097,0.627208854811245,-0.03090446432751332,0.018630443834827176
default,1,mean_pooled,48950,0.04675420372704108,0.01298655114633584,3.6002017163912527,3.182844587453181e-4,0.021300401786634348,0.07220800566744781
default,1,words_only,48950,-0.010841855729858347,0.012646460955973797,-0.8573035387213993,0.39128135065791114,-0.03562907666274384,0.013945365203027147
default,2,individual,48950,-0.022637673779627172,0.012721234906098227,-1.7795185724284726,0.07516098575736836,-0.04757145258575572,0.0022961050265013737
default,2,mean_pooled,48950,0.049301787508096544,0.012922718367730835,3.8151251234575727,1.3628109232139286e-4,0.023973098608527914,0.07463047640766518
default,2,words_only,48950,-0.021486771225372535,0.012755579301758024,-1.6844998347045785,0.09209148673623342,-0.04648786547461117,0.0035143230238661033
default,3,individual,48950,-0.012137878858289234,0.012786918908347147,-0.9492418732995775,0.3425022957898928,-0.037200399126647264,0.012924641410068794
default,3,mean_pooled,48950,0.054545507912335665,0.012821043155615249,4.254373630155539,2.1002406061968202e-5,0.029416103694456307,0.07967491213021502
default,3,words_only,48950,-0.006117983857214767,0.012673580832809369,-0.48273522202789987,0.629285909701764,-0.03095836008636347,0.01872239237193394
default,4,individual,48950,-0.005611395823130299,0.012652811408882966,-0.4434900388375972,0.6574132828457495,-0.03041106372278629,0.019188272076525695
default,4,mean_pooled,48950,0.054822092820211804,0.012785270205734917,4.287910379525729,1.807067235879737e-5,0.029762804029501495,0.07988138161092212
default,4,words_only,48950,-0.01481521544355094,0.01264954292446043,-1.171205594701983,0.24152184831069273,-0.03960847707304336,0.00997804618594148
default,5,individual,48950,0.002561929714671924,0.012525517904132814,0.20453682907807041,0.8379348652346958,-0.02198824133076156,0.027112100760105406
default,5,mean_pooled,48950,0.04887468682983714,0.012755177699736974,3.8317527188072797,1.2739241124137953e-4,0.023874379725560044,0.07387499393411423
default,5,words_only,48950,-0.004578324326608036,0.012625518763425887,-0.36262465031303986,0.7168868593043718,-0.029324498301351545,0.020167849648135477
default,6,individual,48950,-0.0029156259603739442,0.012622161202793226,-0.23099261002376753,0.8173215085986558,-0.027655219074472957,0.021823967153725067
default,6,mean_pooled,48950,0.053770672372435366,0.012845955386212124,4.185805629540699,2.846521535873423e-5,0.028592439872407706,0.07894890487246303
default,6,words_only,48950,-0.012199798295435743,0.012673383940385712,-0.9626314765513563,0.3357372509304988,-0.037039788612982606,0.01264019202211112
default,7,individual,48950,0.0012536935818885059,0.012672607836441266,0.09892940727506717,0.9211947249125343,-0.023584775562264088,0.0260921627260411
default,7,mean_pooled,48950,0.04019187729601965,0.012760200223361903,3.149784219093576,0.0016348936278780925,0.015181725982903009,0.06520202860913629
default,7,words_only,48950,-0.0015126576521964712,0.012636933498954476,-0.11970132250214198,0.9047202439472137,-0.026281204650699167,0.023255889346306225
default,8,individual,48950,-0.01639771862712968,0.012690126701450253,-1.2921635073395852,0.1963066268023178,-0.04127052496482464,0.008475087710565276
default,8,mean_pooled,48950,0.05007943755066152,0.012846191296327799,3.8983879653868447,9.696418680812659e-5,0.024900742663869855,0.07525813243745319
default,8,words_only,48950,-0.016116050722905607,0.012731625531000407,-1.2658282073773233,0.20558061870454972,-0.041070195283214525,0.008838093837403312
default,9,individual,48950,-0.01840708228757119,0.012548253716175727,-1.4669038978581501,0.14240862463258702,-0.04300181580768894,0.006187651232546564
default,9,mean_pooled,48950,0.06436591600961378,0.012910349386509689,4.985606050047814,6.197853382901401e-7,0.03906147046724291,0.08967036155198464
default,9,words_only,48950,0.013135241426100723,0.012735584856771112,1.031381092727526,0.30236723973938223,-0.011826663462015746,0.03809714631421719
default,10,individual,48950,-0.011935075245984795,0.012590350656610511,-0.9479541572353534,0.3431574723880715,-0.036612319293497377,0.012742168801527787
default,10,mean_pooled,48950,0.055671143681646836,0.012861605492017135,4.328475454810091,1.5044267311521446e-5,0.03046223677938425,0.08088005058390943
default,10,words_only,48950,0.006342628279841776,0.012591109924270323,0.5037386154191122,0.6144473358166356,-0.018336103941737562,0.031021360501421118
default,11,individual,48950,-0.002478849460555302,0.012602342179252239,-0.1966975206113936,0.8440650670913792,-0.02717959704175031,0.022221898120639703
default,11,mean_pooled,48950,0.03725800473396128,0.012842632928359207,2.901118870390498,0.0037199838539096826,0.012086284292692758,0.062429725175229794
default,11,words_only,48950,-0.0013872344546265025,0.012589018029933037,-0.1101940160327089,0.9122559596475213,-0.0260618665372589,0.0232873976280059
default,12,individual,48950,-0.0015920889488072294,0.012571356026278627,-0.12664416992718958,0.8992225560170265,-0.026232103284370045,0.023047925386755586
default,12,mean_pooled,48950,0.05717459232903593,0.01271616541599368,4.496213320497147,6.9332900384659645e-6,0.032250749786631755,0.0820984348714401
default,12,words_only,48950,0.007658771917981539,0.012540671431998824,0.6107146622500123,0.5413913331827305,-0.016921100230743606,0.032238644066706686
default,13,individual,48950,0.0022457879549123237,0.01242051398206707,0.18081280357276897,0.8565152615531373,-0.02209857409588431,0.026590150005708954
default,13,mean_pooled,48950,0.05426922326795297,0.012823423537587742,4.232038590075435,2.320039124529535e-5,0.02913515347176975,0.0794032930641362
