fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.03569,0.001274,-0.020782,0.000432,0.004653,28
1,271560,3838,0.041007,0.001682,0.008822,7.8e-05,0.025674,28
2,273072,3787,0.027639,0.000764,0.032507,0.001057,0.020003,32
3,277277,3203,0.035525,0.001262,-0.034969,0.001223,-0.042744,26
4,273362,3746,0.024863,0.000618,-0.017704,0.000313,-0.020089,24
5,275538,3408,0.016743,0.00028,0.013336,0.000178,0.01302,22
6,272895,3839,0.038638,0.001493,0.017025,0.00029,0.019672,27
7,278245,3162,0.03007,0.000904,0.00421,1.8e-05,0.003352,26
8,276139,3294,0.030325,0.00092,0.030504,0.00093,0.036244,27
9,277479,3174,0.02299,0.000529,-0.00755,5.7e-05,-0.013443,25
