fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.659602,0.435074,0.597949,0.357543,0.502079,199
1,306037,34005,0.657649,0.432502,0.598715,0.35846,0.489466,184
2,306038,34004,0.653252,0.426739,0.591194,0.34951,0.487871,165
3,306038,34004,0.642774,0.413158,0.590942,0.349213,0.482078,113
4,306038,34004,0.651235,0.424108,0.591498,0.34987,0.493338,144
5,306038,34004,0.641353,0.411334,0.587272,0.344889,0.490764,106
6,306038,34004,0.629125,0.395798,0.578629,0.334811,0.485316,69
7,306038,34004,0.649696,0.422104,0.582786,0.339639,0.487001,125
8,306038,34004,0.655594,0.429804,0.596596,0.355927,0.500064,192
9,306038,34004,0.636039,0.404546,0.585957,0.343345,0.485991,84
