fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.571409,0.326508,0.348233,0.121267,0.301968,0.590264,47
1,40129,499,0.582104,0.338845,0.413114,0.170663,0.390181,0.627254,51
2,39267,606,0.580056,0.336465,0.225237,0.050732,0.2094,0.562706,47
3,39663,515,0.559757,0.313328,0.460938,0.212464,0.342507,0.607767,46
4,39495,529,0.582878,0.339747,0.438833,0.192574,0.413163,0.627599,53
5,39622,526,0.580108,0.336525,0.483211,0.233493,0.407094,0.640684,54
6,38849,632,0.560353,0.313996,0.457846,0.209623,0.391919,0.612342,51
7,39802,470,0.550067,0.302574,0.475406,0.226011,0.43145,0.638298,41
8,39986,528,0.572163,0.327371,0.418845,0.175431,0.403657,0.617424,51
9,39933,514,0.573918,0.329381,0.414692,0.171969,0.384233,0.634241,51
