fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho
0,276097,3346,0.65887,0.43411,0.371813,0.138245,0.313202
1,274736,3540,0.659964,0.435552,0.385674,0.148744,0.336434
2,274364,3622,0.662337,0.43869,0.321899,0.103619,0.284298
3,276327,3357,0.653551,0.427129,0.435492,0.189653,0.358307
4,270348,4056,0.648963,0.421154,0.419576,0.176044,0.34804
5,279295,2991,0.658179,0.4332,0.383649,0.147187,0.330392
6,278054,3168,0.650432,0.423062,0.421829,0.17794,0.329354
7,271738,3799,0.651699,0.424711,0.371868,0.138286,0.332933
8,276418,3335,0.655574,0.429778,0.352896,0.124536,0.303577
9,277417,3244,0.651008,0.423812,0.375469,0.140977,0.31365
