fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.585226,0.34249,0.413879,0.171296,0.34493,42
1,274736,3540,0.574054,0.329538,0.380828,0.14503,0.339934,37
2,274364,3622,0.601952,0.362346,0.366134,0.134054,0.313635,56
3,276327,3357,0.575551,0.331259,0.459639,0.211268,0.395203,41
4,270348,4056,0.587352,0.344982,0.431688,0.186355,0.383076,46
5,279295,2991,0.599431,0.359318,0.3972,0.157768,0.341442,58
6,278054,3168,0.581978,0.338698,0.432324,0.186904,0.365356,46
7,271738,3799,0.577551,0.333565,0.376872,0.142032,0.329071,42
8,276418,3335,0.585083,0.342323,0.37131,0.137871,0.330185,45
9,277417,3244,0.579159,0.335425,0.400917,0.160734,0.338542,38
