fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.047733,0.002278,-0.011015,0.000121,-0.011132,0.502308,23
1,306037,34005,0.045598,0.002079,0.002326,5e-06,0.003468,0.502338,23
2,306038,34004,0.047144,0.002223,-0.002758,8e-06,-0.00197,0.500882,23
3,306038,34004,0.04184,0.001751,-0.004408,1.9e-05,-0.001559,0.5015,23
4,306038,34004,0.043863,0.001924,0.000598,0.0,-0.00086,0.502559,23
5,306038,34004,0.044435,0.001974,-0.005047,2.5e-05,-0.004535,0.498941,23
6,306038,34004,0.040934,0.001676,0.0002,0.0,0.001635,0.498912,23
7,306038,34004,0.035174,0.001237,-0.007948,6.3e-05,-0.003877,0.500294,22
8,306038,34004,0.039275,0.001543,-0.014017,0.000196,-0.017332,0.494295,23
9,306038,34004,0.035195,0.001239,0.000122,0.0,0.001266,0.50197,23
