fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.047042,0.002213,-0.028789,0.000829,-0.039576,0.480881,23
1,271560,3838,0.043222,0.001868,0.006492,4.2e-05,0.001765,0.503387,23
2,273072,3787,0.048779,0.002379,-0.004111,1.7e-05,-0.004992,0.500396,26
3,277277,3203,0.050925,0.002593,-0.015773,0.000249,-0.017475,0.492663,24
4,273362,3746,0.048632,0.002365,0.003984,1.6e-05,-0.003053,0.494661,23
5,275538,3408,0.038893,0.001513,0.011323,0.000128,0.010322,0.493545,22
6,272895,3839,0.044443,0.001975,-0.013062,0.000171,-0.001794,0.506903,23
7,278245,3162,0.052249,0.00273,-0.004035,1.6e-05,-0.003292,0.494624,24
8,276139,3294,0.023254,0.000541,0.005966,3.6e-05,0.001887,0.501822,21
9,277479,3174,0.036176,0.001309,-0.031428,0.000988,-0.024118,0.49874,22
