fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.507425,0.257481,0.271108,0.073499,0.243693,0.553753,31
1,40129,499,0.53884,0.290349,0.382664,0.146432,0.351825,0.633267,37
2,39267,606,0.550306,0.302836,0.230871,0.053302,0.211692,0.569307,39
3,39663,515,0.523966,0.274541,0.361625,0.130773,0.316967,0.584466,34
4,39495,529,0.507476,0.257532,0.332164,0.110333,0.352952,0.646503,32
5,39622,526,0.521149,0.271597,0.377379,0.142415,0.33135,0.589354,36
6,38849,632,0.559831,0.313411,0.297878,0.088731,0.270529,0.56962,50
7,39802,470,0.531259,0.282237,0.419942,0.176351,0.367133,0.629787,35
8,39986,528,0.523846,0.274415,0.321831,0.103575,0.309354,0.587121,37
9,39933,514,0.536177,0.287486,0.343078,0.117703,0.326481,0.599222,37
