fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.488198,0.238337,0.263255,0.069303,0.224327,0.535497,29
1,40129,499,0.479411,0.229835,0.402236,0.161794,0.395551,0.695391,28
2,39267,606,0.499308,0.249308,0.228927,0.052407,0.23559,0.547855,30
3,39663,515,0.481838,0.232168,0.352865,0.124513,0.334616,0.658252,28
4,39495,529,0.47591,0.22649,0.340975,0.116264,0.34853,0.595463,28
5,39622,526,0.493187,0.243233,0.34317,0.117766,0.308559,0.58365,31
6,38849,632,0.487929,0.238075,0.317194,0.100612,0.285302,0.612342,32
7,39802,470,0.48042,0.230804,0.409158,0.16741,0.390221,0.6,29
8,39986,528,0.495396,0.245417,0.310531,0.096429,0.302347,0.613636,31
9,39933,514,0.505568,0.255599,0.321161,0.103144,0.321022,0.643969,32
