fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.046907,0.0022,-0.008693,7.6e-05,-0.009746,0.49928,23
1,306037,34005,0.040666,0.001654,-0.006529,4.3e-05,-0.005248,0.498721,23
2,306038,34004,0.042904,0.001841,-0.007323,5.4e-05,-0.001982,0.502735,23
3,306038,34004,0.041703,0.001739,-0.007914,6.3e-05,-0.005826,0.50147,23
4,306038,34004,0.031359,0.000983,0.000444,0.0,-0.000214,0.501353,22
5,306038,34004,0.051196,0.002621,-0.006747,4.6e-05,-0.007903,0.498147,25
6,306038,34004,0.032201,0.001037,0.003669,1.3e-05,0.004649,0.499706,22
7,306038,34004,0.032054,0.001027,0.002458,6e-06,0.004476,0.500088,22
8,306038,34004,0.03528,0.001245,0.000146,0.0,0.002689,0.502882,23
9,306038,34004,0.03079,0.000948,0.004638,2.2e-05,0.009327,0.506264,22
