fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.053363,0.002848,0.005353,2.9e-05,-0.001732,0.500073,21
1,306037,34005,0.051088,0.00261,-0.00491,2.4e-05,-0.00528,0.503985,21
2,306038,34004,0.049777,0.002478,0.001159,1e-06,0.001697,0.499647,21
3,306038,34004,0.094448,0.008921,-0.002076,4e-06,-0.00093,0.504205,23
4,306038,34004,0.044035,0.001939,0.009454,8.9e-05,0.011554,0.507911,21
5,306038,34004,0.044046,0.00194,-0.002149,5e-06,-0.00117,0.502676,21
6,306038,34004,0.048812,0.002383,0.009924,9.8e-05,0.007284,0.50597,21
7,306038,34004,0.050426,0.002543,-0.000669,0.0,-0.003092,0.497883,21
8,306038,34004,0.047821,0.002287,-0.002517,6e-06,-0.004583,0.501441,21
9,306038,34004,0.048914,0.002393,0.004566,2.1e-05,0.006021,0.504735,21
