fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.582821,0.33968,0.373658,0.13962,0.32033,0.574037,35
1,40129,499,0.57182,0.326978,0.468067,0.219086,0.402297,0.617234,33
2,39267,606,0.59711,0.356541,0.367516,0.135068,0.310279,0.59571,37
3,39663,515,0.590805,0.349051,0.463111,0.214472,0.33372,0.582524,38
4,39495,529,0.564551,0.318718,0.461436,0.212923,0.478279,0.674858,34
5,39622,526,0.547659,0.299931,0.456983,0.208833,0.388166,0.619772,31
6,38849,632,0.562469,0.316371,0.403054,0.162452,0.384713,0.623418,35
7,39802,470,0.565611,0.319916,0.469509,0.220439,0.424511,0.642553,32
8,39986,528,0.59545,0.354561,0.384416,0.147776,0.35713,0.587121,42
9,39933,514,0.584159,0.341241,0.423256,0.179146,0.383137,0.624514,37
